ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE ACC DI DIAGNOSI 1,DESCRIZIONE ACC DI DIAGNOSI 1,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2017,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,5.394366,1
2017,327 - ATS DELLA VAL PADANA,030273-00,PRESIDIO OSPEDALIERO OGLIO PO-CASALMAGGIORE,18,"CODICI RESIDUI, NON CLASSIFICATI",2.6,1
2016,327 - ATS DELLA VAL PADANA,030209-00,OSPEDALE MAGGIORE - CREMA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,8.141509,0
2012,325 - ATS DI BERGAMO,030356-00,ISTITUTO CLINICO HABILITA,5,MALATTIE MENTALI,46,3
2016,325 - ATS DI BERGAMO,030145-00,CLINICA  CASTELLI - BERGAMO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,5.8,1
2016,328 - ATS DI PAVIA,030940-00,IRCCS CENTRO MEDICO MONTESCANO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,22,0
2016,322 - ATS DELL'INSUBRIA,030009-00,OSPEDALE A.BELLINI - SOMMA LOMBARDO,9,MALATTIE DELL'APPARATO DIGERENTE,8.407407,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-02,OSPEDALE DI CUGGIONO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,7.886364,1
2016,324 - ATS DELLA BRIANZA,030381-00,FOND. MB PER IL BAMBINO E LA SUA MAMMA - MONZA,8,MALATTIE DEL SISTEMA RESPIRATORIO,7.617647,1
2015,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,5.673267,0
2016,324 - ATS DELLA BRIANZA,030931-00,ISTITUTO SCIENTIFICO MEDEA-BOSISIO P.,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,21.2,2.8
2016,322 - ATS DELL'INSUBRIA,030364-00,FOND. GAETANO E PIERA BORGHI - BREBBIA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,29.233333,0
2014,323 - ATS DELLA MONTAGNA,030045-00,OSPEDALE  MORBEGNO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,16.666667,0
2014,324 - ATS DELLA BRIANZA,030944-00,FONDAZIONE S. MAUGERI - LISSONE,16,LESIONI E AVVELENAMENTO,20.545455,0
2013,325 - ATS DI BERGAMO,030379-00,HABILITA IST.CLINICO-OSP.LE DI SARNICO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,5.6,0
2014,325 - ATS DI BERGAMO,030137-00,OSP.LE SS.CAPITANIO E GEROSA - LOVERE,18,"CODICI RESIDUI, NON CLASSIFICATI",2,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030103-00,CASA DI CURA PALAZZOLO-FOND.DON GNOCCHI,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,14.428571,0
2014,328 - ATS DI PAVIA,030939-00,FOND.IST.NEUROL.C.MONDINO-PAVIA,10,MALATTIE DEL SISTEMA GENITO-URINARIO,1.5,1
2017,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,8.2,0
2017,325 - ATS DI BERGAMO,030354-00,NEPHROCARE S.P.A. - SERIATE,1,MALATTIE INFETTIVE E PARASSITARIE,14.555556,0
2014,324 - ATS DELLA BRIANZA,030931-00,ISTITUTO SCIENTIFICO MEDEA-BOSISIO P.,5,MALATTIE MENTALI,9.12426,1.420833
2012,323 - ATS DELLA MONTAGNA,030044-00,OSPEDALE GENERALE DI ZONA - CHIAVENNA,14,ANOMALIE CONGENITE,2,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,OSPEDALE M. MELLONI - MILANO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,7.066667,0
2015,326 - ATS DI BRESCIA,030294-00,CASA DI CURA  DOMUS SALUTIS - BRESCIA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,20.638095,0
2016,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,14,ANOMALIE CONGENITE,2.666667,0
2015,322 - ATS DELL'INSUBRIA,030901-02,OSPEDALE F. DEL PONTE - VARESE,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,5.65,2
2015,326 - ATS DI BRESCIA,030158-00,OSPEDALE DI LENO,5,MALATTIE MENTALI,19.406015,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-03,IRCCS OSPEDALE CAPITANIO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,3.533333,0
2015,325 - ATS DI BERGAMO,030138-00,OSP.LE SS.TRINITA'-ROMANO DI LOMBARDIA,14,ANOMALIE CONGENITE,1,0
2015,326 - ATS DI BRESCIA,030366-00,DOMINATO LEONENSE SANITA' - LENO,16,LESIONI E AVVELENAMENTO,19.15625,0
2015,324 - ATS DELLA BRIANZA,030931-00,ISTITUTO SCIENTIFICO MEDEA-BOSISIO P.,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",10.888889,1.333333
2015,324 - ATS DELLA BRIANZA,030920-00,I.N.R.C.A.- PRESIDIO DI CASATENOVO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,9.538462,0
2014,323 - ATS DELLA MONTAGNA,030045-00,OSPEDALE  MORBEGNO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,7.1,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030934-00,"CENTRO CARDIOLOGICO ""FOND. MONZINO"" - MILANO",3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",3.263158,0
2015,327 - ATS DELLA VAL PADANA,030227-01,PRESIDIO OSPEDALIERO - ASOLA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,8.375,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030934-00,"CENTRO CARDIOLOGICO ""FOND. MONZINO"" - MILANO",9,MALATTIE DELL'APPARATO DIGERENTE,10.454545,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030100-00,CASA DI CURA IGEA - MILANO,5,MALATTIE MENTALI,4.159763,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030119-00,IST.CLINICO S.SIRO SPA-MILANO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",15.75,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030950-00,SAN RAFFAELE TURRO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",29.666667,0
2017,326 - ATS DI BRESCIA,030294-00,CASA DI CURA  DOMUS SALUTIS - BRESCIA,9,MALATTIE DELL'APPARATO DIGERENTE,35,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030363-00,RESIDENZA ANNI AZZURRI MIRASOLE - OPERA,18,"CODICI RESIDUI, NON CLASSIFICATI",37.25,0
2015,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,4.958904,0
2015,325 - ATS DI BERGAMO,030132-00,OSPEDALE CIVILE - S.GIOVANNI BIANCO,5,MALATTIE MENTALI,5.416667,0
2016,324 - ATS DELLA BRIANZA,030033-00,CASA DI CURA BEATO L.TALAMONI-LECCO,1,MALATTIE INFETTIVE E PARASSITARIE,7.3,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,OSPEDALE M. MELLONI - MILANO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,9.3,0
2015,327 - ATS DELLA VAL PADANA,030215-00,OSPEDALE S. MARTA - RIVOLTA D'ADDA,18,"CODICI RESIDUI, NON CLASSIFICATI",1.967742,0
2013,326 - ATS DI BRESCIA,030154-02,STABILIMENTO OSPEDALIERO DI ORZINUOVI,7,MALATTIE DEL SISTEMA CIRCOLATORIO,10.2,0
2015,325 - ATS DI BERGAMO,030134-00,OSPEDALE F. M. PASSI - CALCINATE,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,5.125,0
2016,323 - ATS DELLA MONTAGNA,030044-00,OSPEDALE DI CHIAVENNA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,9.071429,0
2017,322 - ATS DELL'INSUBRIA,030038-00,CASA DI CURA LE BETULLE-APPIANO GENTILE,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,1,0
2016,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,10.324324,0
2014,326 - ATS DI BRESCIA,030162-00,PRESIDIO OSPEDALIERO GARDONE V.T.,1,MALATTIE INFETTIVE E PARASSITARIE,11.534884,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,7.473684,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030359-00,FONDAZIONE EUROPEA DI RICERCA BIOMEDICA-CERNUSCO S/NAVIGLIO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,19.331126,0
2017,322 - ATS DELL'INSUBRIA,030025-00,OSPEDALE F. VILLA - MARIANO COMENSE,16,LESIONI E AVVELENAMENTO,27.810056,0
2017,325 - ATS DI BERGAMO,030146-00,CASA DI CURA S. FRANCESCO - BERGAMO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,9.106383,0
2012,326 - ATS DI BRESCIA,030161-00,PRESIDIO OSPEDALIERO DI SALO',7,MALATTIE DEL SISTEMA CIRCOLATORIO,1,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030283-00,OSPEDALE G.CASATI-PASSIRANA RHO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,75.269231,0
2015,325 - ATS DI BERGAMO,030134-00,OSPEDALE F. M. PASSI - CALCINATE,5,MALATTIE MENTALI,8.571429,0
2016,323 - ATS DELLA MONTAGNA,030031-00,OSP. MORIGGIA PELASCINI - GRAVEDONA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,7.490566,0
2015,322 - ATS DELL'INSUBRIA,030009-00,OSPEDALE A.BELLINI - SOMMA LOMBARDO,18,"CODICI RESIDUI, NON CLASSIFICATI",17.166667,0
2014,327 - ATS DELLA VAL PADANA,030933-00,FOND.S.MAUGERI-CENTRO MEDICO-CASTEL G.,5,MALATTIE MENTALI,61.333333,0
2017,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,5,MALATTIE MENTALI,5.28,0
2017,322 - ATS DELL'INSUBRIA,030012-00,OSPEDALE CARLO ONDOLI - ANGERA,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,2.466667,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030949-00,IRCCS IST. SCIENTIFICO DI RIABILITAZIONE - MI,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,38.471545,0
2015,325 - ATS DI BERGAMO,030350-00,OSPEDALE S.ISIDORO - TRESCORE B.,1,MALATTIE INFETTIVE E PARASSITARIE,11,0
2014,324 - ATS DELLA BRIANZA,030033-00,CASA DI CURA BEATO L.TALAMONI-LECCO,18,"CODICI RESIDUI, NON CLASSIFICATI",1.833333,0
2015,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,18,"CODICI RESIDUI, NON CLASSIFICATI",1.857143,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030112-00,IST.CLINICO S.AMBROGIO SPA-MILANO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,4,0
2016,326 - ATS DI BRESCIA,030177-00,CASA DI CURA VILLA GEMMA-GARDONE RIV,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,17.278409,0
2015,324 - ATS DELLA BRIANZA,030082-00,P.O. TRABATTONI RONZONI DI SEREGNO,14,ANOMALIE CONGENITE,36,0
2015,324 - ATS DELLA BRIANZA,030081-00,PRESIDIO OSPEDALIERO DI GIUSSANO,18,"CODICI RESIDUI, NON CLASSIFICATI",5.5,1
2016,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,18,"CODICI RESIDUI, NON CLASSIFICATI",1.636364,1
2017,322 - ATS DELL'INSUBRIA,030009-00,OSPEDALE A.BELLINI - SOMMA LOMBARDO,5,MALATTIE MENTALI,6.428571,0
2012,328 - ATS DI PAVIA,030939-00,FOND.IST.NEUROL.C.MONDINO-PAVIA,8,MALATTIE DEL SISTEMA RESPIRATORIO,3.666667,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030934-00,"CENTRO CARDIOLOGICO ""FOND. MONZINO"" - MILANO",9,MALATTIE DELL'APPARATO DIGERENTE,7.666667,0
2013,326 - ATS DI BRESCIA,030942-00,IRCCS S.GIOVANNI DI DIO-FBF- BRESCIA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,57,0
2017,322 - ATS DELL'INSUBRIA,030282-01,OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,4,1
2017,322 - ATS DELL'INSUBRIA,030004-00,OSPEDALE DI CIRCOLO - BUSTO ARSIZIO,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,6.804233,0
2017,328 - ATS DI PAVIA,030939-00,FOND.IST.NEUROL.C.MONDINO-PAVIA,8,MALATTIE DEL SISTEMA RESPIRATORIO,4.8,0
2016,326 - ATS DI BRESCIA,030348-00,CASA DI CURA VILLA BARBARANO - SALO',9,MALATTIE DELL'APPARATO DIGERENTE,12,0
2017,328 - ATS DI PAVIA,030940-00,IRCCS CENTRO MEDICO MONTESCANO,5,MALATTIE MENTALI,54,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030363-00,RESIDENZA ANNI AZZURRI MIRASOLE - OPERA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,48,0
2017,324 - ATS DELLA BRIANZA,030284-00,CENTRO DI RIABIL.VILLA BERETTA-COSTA M,7,MALATTIE DEL SISTEMA CIRCOLATORIO,45.144509,25.533333
2017,326 - ATS DI BRESCIA,030178-00,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,18,"CODICI RESIDUI, NON CLASSIFICATI",1.25,1
2017,326 - ATS DI BRESCIA,030183-00,OSPEDALE VILLA DEI COLLI DI LONATO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,17,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-01,IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILANO,1,MALATTIE INFETTIVE E PARASSITARIE,16.357143,0
2015,324 - ATS DELLA BRIANZA,030034-00,CASA DI CURA G.B. MANGIONI - LECCO,1,MALATTIE INFETTIVE E PARASSITARIE,6.75,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030083-00,OSPEDALE DELMATI - SANT'ANGELO LODIGIANO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,16.76,0
2016,328 - ATS DI PAVIA,030383-00,NUOVO OSPEDALE DI BRONI E STRADELLA ,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,9.5,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030363-00,RESIDENZA ANNI AZZURRI MIRASOLE - OPERA,14,ANOMALIE CONGENITE,38,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030937-00,IRCCS S.M.NASCENTE-FOND.DON C.GNOCCHI-MILANO,1,MALATTIE INFETTIVE E PARASSITARIE,27,0
2014,326 - ATS DI BRESCIA,030169-00,U.O. CARDIOLOGIA RIABILITATIVA FASANO D/G,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,10.25,0
2017,328 - ATS DI PAVIA,030197-00,CASA DI CURA VILLA ESPERIA,16,LESIONI E AVVELENAMENTO,27.514706,16
2017,322 - ATS DELL'INSUBRIA,030364-00,FOND. GAETANO E PIERA BORGHI - BREBBIA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,11,0
2014,325 - ATS DI BERGAMO,030136-00,OSPEDALE BRIOLINI - GAZZANIGA,1,MALATTIE INFETTIVE E PARASSITARIE,2,0
2017,322 - ATS DELL'INSUBRIA,030009-00,OSPEDALE A.BELLINI - SOMMA LOMBARDO,18,"CODICI RESIDUI, NON CLASSIFICATI",13.166667,0
2013,324 - ATS DELLA BRIANZA,030920-00,I.N.R.C.A.- PRESIDIO DI CASATENOVO,5,MALATTIE MENTALI,2,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030912-00,P.O. CENTRO TRAUMATOLOGICO ORTOPEDICO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",6,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030124-00,ISTITUTO STOMATOLOGICO ITALIANO - MILANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,0,1
2016,322 - ATS DELL'INSUBRIA,030282-02,OSPEDALE LUINI CONFALONIERI - LUINO,5,MALATTIE MENTALI,7.571429,0
2015,324 - ATS DELLA BRIANZA,030381-00,FOND. MB PER IL BAMBINO E LA SUA MAMMA - MONZA,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,7.7,0
2017,325 - ATS DI BERGAMO,030137-00,OSP.LE SS.CAPITANIO E GEROSA - LOVERE,18,"CODICI RESIDUI, NON CLASSIFICATI",1,1
2017,322 - ATS DELL'INSUBRIA,030364-00,FOND. GAETANO E PIERA BORGHI - BREBBIA,5,MALATTIE MENTALI,3,0
2017,324 - ATS DELLA BRIANZA,030108-00,CASA DI CURA ZUCCHI - CARATE BRIANZA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,22,0
2017,325 - ATS DI BERGAMO,030350-00,OSPEDALE S.ISIDORO - TRESCORE B.,2,NEOPLASIE,5,0
2016,324 - ATS DELLA BRIANZA,030284-00,CENTRO DI RIABIL.VILLA BERETTA-COSTA M,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",6,0
2014,326 - ATS DI BRESCIA,030183-00,OSPEDALE VILLA DEI COLLI DI LONATO,2,NEOPLASIE,15,0
2013,326 - ATS DI BRESCIA,030932-00,FONDAZIONE S.MAUGERI - LUMEZZANE,9,MALATTIE DELL'APPARATO DIGERENTE,25,0
2017,327 - ATS DELLA VAL PADANA,030218-00,CASA DI CURA S. CAMILLO - CREMONA,18,"CODICI RESIDUI, NON CLASSIFICATI",8.294118,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030084-00,OSPEDALE A. ZAPPATONI-CASSANO D'ADDA,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,11,0
2017,322 - ATS DELL'INSUBRIA,030347-00,CASA DI CURA VILLA S. GIUSEPPE-ANZANO DEL PARCO ,2,NEOPLASIE,34,0
2017,322 - ATS DELL'INSUBRIA,030347-00,CASA DI CURA VILLA S. GIUSEPPE-ANZANO DEL PARCO ,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,24.75,0
2015,327 - ATS DELLA VAL PADANA,030217-00,CASA DI CURA ANCELLE DELLA CARITA'-CR,18,"CODICI RESIDUI, NON CLASSIFICATI",16,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-02,OSPEDALE DI CUGGIONO,18,"CODICI RESIDUI, NON CLASSIFICATI",1,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030283-00,OSPEDALE G.CASATI-PASSIRANA RHO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,54,0
2013,326 - ATS DI BRESCIA,030369-00,CENTRO MEDICO RICHIEDEI-PALAZZOLO S/O,14,ANOMALIE CONGENITE,15,0
2013,324 - ATS DELLA BRIANZA,030109-00,CASA DI CURA VILLA BIANCA - LIMBIATE,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",24,0
2016,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,5,MALATTIE MENTALI,7,0
2013,325 - ATS DI BERGAMO,030379-00,HABILITA IST.CLINICO-OSP.LE DI SARNICO,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,15,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030912-00,P.O. CENTRO TRAUMATOLOGICO ORTOPEDICO - MILANO,5,MALATTIE MENTALI,0,1
2016,324 - ATS DELLA BRIANZA,030107-00,ISTITUTI CLINICI ZUCCHI SPA-MONZA,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,7.571429,0
2015,325 - ATS DI BERGAMO,030136-00,OSPEDALE BRIOLINI - GAZZANIGA,8,MALATTIE DEL SISTEMA RESPIRATORIO,27.333333,0
2016,325 - ATS DI BERGAMO,030384-00,C.R.C. MALATTIE RARE ALDO E CELE DACCO'-RANICA,18,"CODICI RESIDUI, NON CLASSIFICATI",0,1
2017,326 - ATS DI BRESCIA,030348-00,CASA DI CURA VILLA BARBARANO - SALO',2,NEOPLASIE,17,0
2012,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,1,MALATTIE INFETTIVE E PARASSITARIE,28.227273,1
2012,327 - ATS DELLA VAL PADANA,030227-00,PRESIDIO OSPEDALIERO - ASOLA,10,MALATTIE DEL SISTEMA GENITO-URINARIO,4.838174,1
2012,325 - ATS DI BERGAMO,030147-00,POLICLINICO SAN MARCO S.R.L.-OSIO SOTTO,14,ANOMALIE CONGENITE,3.914286,0
2012,326 - ATS DI BRESCIA,030275-00,ISTITUTO CLINICO S. ROCCO S.P.A.,16,LESIONI E AVVELENAMENTO,5.261297,1
2012,326 - ATS DI BRESCIA,030183-00,OSPEDALE VILLA DEI COLLI DI LONATO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,19.354167,0
2012,324 - ATS DELLA BRIANZA,030106-00,POLICLINICO DI MONZA - CASA DI CURA PRIV,14,ANOMALIE CONGENITE,2.180451,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030121-00,CASA DI CURA S. PIO X - MILANO,16,LESIONI E AVVELENAMENTO,7.800926,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,16,LESIONI E AVVELENAMENTO,8.913146,1
2012,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,18,"CODICI RESIDUI, NON CLASSIFICATI",11.648936,1
2012,328 - ATS DI PAVIA,030938-00,FOND.MAUGERI-CENTRO MEDICO DI PAVIA,2,NEOPLASIE,6.658009,1
2012,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,2,NEOPLASIE,6.875,1
2012,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,2,NEOPLASIE,6.484487,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",8.775076,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030097-00,ISTITUTO CLINICO CITTA' STUDI -  MILANO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",7.622731,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-02,OSPEDALE DI CUGGIONO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",8.036364,0
2012,324 - ATS DELLA BRIANZA,030033-00,CASA DI CURA BEATO L.TALAMONI-LECCO,4,MALATTIE DEL SANGUE E DEGLI ORGANI EMATOPOIETICI,6.952381,0
2012,326 - ATS DI BRESCIA,030295-00,POLIAMBULANZA - BRESCIA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,6.046875,1
2012,325 - ATS DI BERGAMO,030143-00,CLINICHE GAVAZZENI SPA - BERGAMO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,6.972632,1
2012,324 - ATS DELLA BRIANZA,030081-00,PRESIDIO OSPEDALIERO DI GIUSSANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,6.506456,1
2012,328 - ATS DI PAVIA,030940-00,MAUGERI-CENTRO MEDICO MONTESCANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,24.978297,0
2012,326 - ATS DI BRESCIA,030178-00,IST.CLIN. CITTA' DI BRESCIA SPA-BRESCIA,16,LESIONI E AVVELENAMENTO,8.006525,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,8,MALATTIE DEL SISTEMA RESPIRATORIO,10.264151,0
2012,328 - ATS DI PAVIA,030938-00,FOND.MAUGERI-CENTRO MEDICO DI PAVIA,8,MALATTIE DEL SISTEMA RESPIRATORIO,16.32809,0
2012,328 - ATS DI PAVIA,030198-00,CASA DI CURA BEATO MATTEO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,10.965753,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030058-00,OSPEDALE BASSINI - CINISELLO BALSAMO,9,MALATTIE DELL'APPARATO DIGERENTE,6.083736,1
2012,326 - ATS DI BRESCIA,030157-00,OSPEDALE CIVILE LA MEMORIA DI GAVARDO,1,MALATTIE INFETTIVE E PARASSITARIE,8.223404,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,14,ANOMALIE CONGENITE,2.022222,0
