ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,CODICE_EROGATORE,DESCRIZIONE_EROGATORE,DESCRIZIONE_TIPOLOGIA_EROGATORE,DESCRIZIONE_TIPO_ENTE,CODICE_BRANCA,DESCRIZIONE_BRANCA,DESCRIZIONE_MACRO_TIPO,PRESTAZIONI_TOT
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",925,IRCCS OSPEDALE POLICLINICO DI MILANO,PUBBLICO,IRCCS PUBBLICO,201,OSTETRICIA E GINECOLOGIA,ATTIVITA CLINICA,38079
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",707,ASST NORD MILANO,PUBBLICO,ASST,115,LABORATORIO IN GENERE,LABORATORIO,216601
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",711,ASST DELLA VALLE OLONA,PUBBLICO,ASST,201,OSTETRICIA E GINECOLOGIA,ATTIVITA CLINICA,40379
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",924,POLICLINICO S. MATTEO - PV,PUBBLICO,IRCCS PUBBLICO,21,CARDIOLOGIA,ATTIVITA CLINICA,61975
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",938,FOND. CLINICA DEL LAVORO - PAVIA,PRIVATO,IRCCS PRIVATO,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,8328
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PRIVATO,ATS,114,MICROBIOLOGIA-VIROLOGIA,LABORATORIO,533912
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",922,ISTITUTO NAZIONALE DEI TUMORI- MI,PUBBLICO,IRCCS PUBBLICO,211,OTORINOLARINGOIATRIA,ATTIVITA CLINICA,2309
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",938,FOND. CLINICA DEL LAVORO - PAVIA,PRIVATO,IRCCS PRIVATO,133,DIALISI IN REGIME DI RICOVERO,ATTIVITA CLINICA,711
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",939,ISTITUTO MONDINO - PAVIA,PRIVATO,IRCCS PRIVATO,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,1471
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",715,ASST DI LECCO,PUBBLICO,ASST,84,DIAGNOSTICA PER IMMAGINI: RMN,DIAGNOSTICA PER IMMAGINI,4234
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",937,PRO JOVENTUDE DON C. GNOCCHI - MI,PRIVATO,IRCCS PRIVATO,84,DIAGNOSTICA PER IMMAGINI: RMN,DIAGNOSTICA PER IMMAGINI,6280
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",715,ASST DI LECCO,PUBBLICO,ASST,91,ENDOCRINOLOGIA,ATTIVITA CLINICA,12226
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",323,ATS DELLA MONTAGNA,PRIVATO,ATS,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,8838
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",923,ISTITUTO NEUROLOGICO BESTA - MI,PUBBLICO,IRCCS PUBBLICO,21,CARDIOLOGIA,ATTIVITA CLINICA,874
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",707,ASST NORD MILANO,PUBBLICO,ASST,84,DIAGNOSTICA PER IMMAGINI: RMN,DIAGNOSTICA PER IMMAGINI,1862
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,PUBBLICO,ASST,241,RADIOTERAPIA,ATTIVITA CLINICA,25564
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",719,ASST DI BERGAMO OVEST,PUBBLICO,ASST,261,ALTRO IN GENERE,MAC,7294
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",930,FONDAZIONE CLINICA DEL LAVORO - TRADATE,PRIVATO,IRCCS PRIVATO,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,594
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",712,ASST LARIANA,PUBBLICO,ASST,112,CHIMICA CLINICA,LABORATORIO,1312809
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",709,ASST DI LODI,PUBBLICO,ASST,264,VISITA DI CONTROLLO,ATTIVITA CLINICA,75355
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",324,ATS DELLA BRIANZA,PRIVATO,ATS,221,PNEUMOLOGIA,ATTIVITA CLINICA,24500
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",712,ASST LARIANA,PUBBLICO,ASST,231,PSICHIATRIA,ATTIVITA CLINICA,12561
2016,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,133,DIALISI IN REGIME DI RICOVERO,ATTIVITA CLINICA,27365
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",717,ASST DI VIMERCATE,PUBBLICO,ASST,261,ALTRO IN GENERE,MAC,17029
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",724,ASST DI CREMONA,PUBBLICO,ASST,61,DERMOSIFILOPATIA,ATTIVITA CLINICA,31514
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",950,SAN RAFFAELE TURRO,PRIVATO,IRCCS PRIVATO,81,DIAGNOSTICA PER IMMAGINI: RADIOLOGIA DIAGNOSTICA,DIAGNOSTICA PER IMMAGINI,5439
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",930,FONDAZIONE CLINICA DEL LAVORO - TRADATE,PRIVATO,IRCCS PRIVATO,115,LABORATORIO IN GENERE,LABORATORIO,8513
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",724,ASST DI CREMONA,PUBBLICO,ASST,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,71487
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,PUBBLICO,ASST,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,18830
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",935,S. RAFFAELE- MI,PRIVATO,IRCCS PRIVATO,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,33600
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",325,ATS DI BERGAMO,PRIVATO,ATS,132,DIALISI,ATTIVITA CLINICA,67604
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PRIVATO,ATS,265,VISITA GENERALE,ATTIVITA CLINICA,91557
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",726,ASST DI CREMA,PUBBLICO,ASST,115,LABORATORIO IN GENERE,LABORATORIO,146315
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",710,ASST DEI SETTE LAGHI,PUBBLICO,ASST,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,108598
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",931,IST.SCIENT. E. MEDEA - BOSISIO PARINI,PRIVATO,IRCCS PRIVATO,113,IMMUNOEMATOLOGIA-TRASFUSIONALE,LABORATORIO,7384
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",931,IST.SCIENT. E. MEDEA - BOSISIO PARINI,PRIVATO,IRCCS PRIVATO,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,928
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",328,ATS DI PAVIA,PRIVATO,ATS,91,ENDOCRINOLOGIA,ATTIVITA CLINICA,13774
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",938,FOND. CLINICA DEL LAVORO - PAVIA,PRIVATO,IRCCS PRIVATO,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,24326
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",924,POLICLINICO S. MATTEO - PV,PUBBLICO,IRCCS PUBBLICO,85,DIAGNOSTICA PER IMMAGINI: TAC,DIAGNOSTICA PER IMMAGINI,17418
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",945,ISTITUTO SCIENTIFICO DI PAVIA,PRIVATO,IRCCS PRIVATO,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,169
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,PUBBLICO,ASST,151,NEUROLOGIA,ATTIVITA CLINICA,23794
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",724,ASST DI CREMONA,PUBBLICO,ASST,112,CHIMICA CLINICA,LABORATORIO,1064096
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",720,ASST DI BERGAMO EST,PUBBLICO,ASST,261,ALTRO IN GENERE,ATTIVITA CLINICA,24483
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",323,ATS DELLA MONTAGNA,PRIVATO,ATS,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,8797
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",323,ATS DELLA MONTAGNA,PUBBLICO,ATS,161,OCULISTICA,ATTIVITA CLINICA,1
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",930,FONDAZIONE CLINICA DEL LAVORO - TRADATE,PRIVATO,IRCCS PRIVATO,265,VISITA GENERALE,ATTIVITA CLINICA,129
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",922,ISTITUTO NAZIONALE DEI TUMORI- MI,PUBBLICO,IRCCS PUBBLICO,261,ALTRO IN GENERE,MAC,1942
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",712,ASST LARIANA,PUBBLICO,ASST,85,DIAGNOSTICA PER IMMAGINI: TAC,DIAGNOSTICA PER IMMAGINI,8872
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",711,ASST DELLA VALLE OLONA,PUBBLICO,ASST,131,NEFROLOGIA,ATTIVITA CLINICA,49290
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",938,FOND. CLINICA DEL LAVORO - PAVIA,PRIVATO,IRCCS PRIVATO,84,DIAGNOSTICA PER IMMAGINI: RMN,DIAGNOSTICA PER IMMAGINI,3895
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PRIVATO,ATS,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,1190730
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",925,IRCCS OSPEDALE POLICLINICO DI MILANO,PUBBLICO,IRCCS PUBBLICO,112,CHIMICA CLINICA,LABORATORIO,861548
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",936,OSPEDALE S. LUCA - MI,PRIVATO,IRCCS PRIVATO,181,ONCOLOGIA,ATTIVITA CLINICA,1819
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",702,ASST SANTI PAOLO E CARLO,PUBBLICO,ASST,191,ORTOPEDIA E TRAUMATOLOGIA,ATTIVITA CLINICA,22662
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",709,ASST DI LODI,PUBBLICO,ASST,161,OCULISTICA,ATTIVITA CLINICA,19569
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",719,ASST DI BERGAMO OVEST,PUBBLICO,ASST,115,LABORATORIO IN GENERE,LABORATORIO,183273
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,84,DIAGNOSTICA PER IMMAGINI: RMN,DIAGNOSTICA PER IMMAGINI,7746
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",727,ASST DI PAVIA,PUBBLICO,ASST,31,CHIRURGIA GENERALE,ATTIVITA CLINICA,7936
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",710,ASST DEI SETTE LAGHI,PUBBLICO,ASST,271,NEUROPSICHIATRIA INFANTILE,ATTIVITA CLINICA,44979
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",714,ASST DELLA VALCAMONICA,PUBBLICO,ATS,261,ALTRO IN GENERE,MAC,3115
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",710,ASST DEI SETTE LAGHI,PUBBLICO,ASST,82,DIAGNOSTICA PER IMMAGINI: INTERVENTISTICA,DIAGNOSTICA PER IMMAGINI,86
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",717,ASST DI VIMERCATE,PUBBLICO,ASST,BIC,BIC,BIC,3021
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",705,ASST OVEST MILANESE,PUBBLICO,ASST,263,CONSULTO COMPLESSIVO,ATTIVITA CLINICA,244
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",946,ISTITUTO ORTOPEDICO GALEAZZI SPA,PRIVATO,IRCCS PRIVATO,221,PNEUMOLOGIA,ATTIVITA CLINICA,2
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",328,ATS DI PAVIA,PUBBLICO,ATS,91,ENDOCRINOLOGIA,ATTIVITA CLINICA,3553
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",718,ASST PAPA GIOVANNI XXIII,PUBBLICO,ASST,131,NEFROLOGIA,ATTIVITA CLINICA,13465
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",924,POLICLINICO S. MATTEO - PV,PUBBLICO,IRCCS PUBBLICO,211,OTORINOLARINGOIATRIA,ATTIVITA CLINICA,19069
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",327,ATS DELLA VAL PADANA,PRIVATO,ATS,221,PNEUMOLOGIA,ATTIVITA CLINICA,11427
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PRIVATO,ATS,181,ONCOLOGIA,ATTIVITA CLINICA,55484
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",327,ATS DELLA VAL PADANA,PRIVATO,ATS,251,UROLOGIA,ATTIVITA CLINICA,12336
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",714,ASST DELLA VALCAMONICA,PUBBLICO,ASST,71,DIAGNOSTICA PER IMMAGINI: MEDICINA NUCLEARE,DIAGNOSTICA PER IMMAGINI,1296
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",925,IRCCS OSPEDALE POLICLINICO DI MILANO,PUBBLICO,IRCCS PUBBLICO,11,ANESTESIA,ATTIVITA CLINICA,3418
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,"(45.68701679, 9.63853045)",718,ASST PAPA GIOVANNI XXIII,PUBBLICO,ASST,181,ONCOLOGIA,ATTIVITA CLINICA,17077
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",925,IRCCS OSPEDALE POLICLINICO DI MILANO,PUBBLICO,IRCCS PUBBLICO,82,DIAGNOSTICA PER IMMAGINI: INTERVENTISTICA,DIAGNOSTICA PER IMMAGINI,222
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",706,ASST RHODENSE,PUBBLICO,ASST,132,DIALISI,ATTIVITA CLINICA,23393
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",938,FOND. CLINICA DEL LAVORO - PAVIA,PRIVATO,IRCCS PRIVATO,115,LABORATORIO IN GENERE,LABORATORIO,35933
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,PUBBLICO,ASST,271,NEUROPSICHIATRIA INFANTILE,ATTIVITA CLINICA,37712
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",725,ASST DI MANTOVA,PUBBLICO,ASST,BIC,BIC,BIC,3600
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",322,ATS DELL'INSUBRIA,PRIVATO,ATS,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,955584
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,71,DIAGNOSTICA PER IMMAGINI: MEDICINA NUCLEARE,DIAGNOSTICA PER IMMAGINI,5892
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",714,ASST DELLA VALCAMONICA,PUBBLICO,ATS,91,ENDOCRINOLOGIA,ATTIVITA CLINICA,9351
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",945,ISTITUTO SCIENTIFICO DI PAVIA,PRIVATO,IRCCS PRIVATO,181,ONCOLOGIA,ATTIVITA CLINICA,1343
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",938,FOND. CLINICA DEL LAVORO - PAVIA,PRIVATO,IRCCS PRIVATO,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,5454
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",321,ATS DELLA CITTA' METROPOLITANA DI MILANO,PRIVATO,ATS,51,CHIRURGIA VASCOLARE  - ANGIOLOGIA,ATTIVITA CLINICA,15867
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,231,PSICHIATRIA,ATTIVITA CLINICA,3681
2016,30,REGIONE LOMBARDIA,,,,,,PUBBLICO,,264,VISITA DI CONTROLLO,ATTIVITA CLINICA,2157416
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",943,ISTITUTO CLINICO HUMANITAS - ROZZANO,PRIVATO,IRCCS PRIVATO,101,GASTROENTEROLOGIA - CHIRURGIA ED ENDOSCOPIA DIGESTIVA,ATTIVITA CLINICA,9705
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",925,IRCCS OSPEDALE POLICLINICO DI MILANO,PUBBLICO,IRCCS PUBBLICO,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,51144
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",922,ISTITUTO NAZIONALE DEI TUMORI- MI,PUBBLICO,IRCCS PUBBLICO,161,OCULISTICA,ATTIVITA CLINICA,39
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",703,ASST FATEBENEFRATELLI SACCO,PUBBLICO,ASST,171,ODONTOSTOMATOLOGIA - CHIRURGIA MAXILLO FACCIALE,ATTIVITA CLINICA,14507
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",714,ASST DELLA VALCAMONICA,PUBBLICO,ASST,83,DIAGNOSTICA PER IMMAGINI: ECOGRAFIA,DIAGNOSTICA PER IMMAGINI,10383
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",930,FONDAZIONE CLINICA DEL LAVORO - TRADATE,PRIVATO,IRCCS PRIVATO,221,PNEUMOLOGIA,ATTIVITA CLINICA,5668
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",323,ATS DELLA MONTAGNA,PUBBLICO,ATS,211,OTORINOLARINGOIATRIA,ATTIVITA CLINICA,8
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",715,ASST DI LECCO,PUBBLICO,ASST,141,NEUROCHIRURGIA,ATTIVITA CLINICA,78
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",930,FONDAZIONE CLINICA DEL LAVORO - TRADATE,PRIVATO,IRCCS PRIVATO,261,ALTRO IN GENERE,MAC,2455
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",704,ASST CENTRO SPECIALISTICO ORTOPEDICO TRAUMATOLOGICO GAETANO PINI/CTO,PUBBLICO,ASST,BIC,BIC,BIC,1984
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",925,IRCCS OSPEDALE POLICLINICO DI MILANO,PUBBLICO,IRCCS PUBBLICO,41,CHIRURGIA PLASTICA,ATTIVITA CLINICA,4808
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",727,ASST DI PAVIA,PUBBLICO,ASST,111,ANATOMIA ISTOLOGIA PATOLOGICA-GENETICA,LABORATORIO,40322
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",717,ASST DI VIMERCATE,PUBBLICO,ASST,261,ALTRO IN GENERE,ATTIVITA CLINICA,32782
2017,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,PUBBLICO,ASST,191,ORTOPEDIA E TRAUMATOLOGIA,ATTIVITA CLINICA,20734
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,"(45.69919245, 9.298423314)",716,ASST DI MONZA,PUBBLICO,ASST,114,MICROBIOLOGIA-VIROLOGIA,LABORATORIO,215020
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",950,SAN RAFFAELE TURRO,PRIVATO,IRCCS PRIVATO,85,DIAGNOSTICA PER IMMAGINI: TAC,DIAGNOSTICA PER IMMAGINI,3393
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",726,ASST DI CREMA,PUBBLICO,ASST,121,MEDICINA FISICA E RIABILITAZIONE,ATTIVITA CLINICA,68779
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,"(45.1439181, 10.02604335)",724,ASST DI CREMONA,PUBBLICO,ASST,131,NEFROLOGIA,ATTIVITA CLINICA,29766
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",923,ISTITUTO NEUROLOGICO BESTA - MI,PUBBLICO,IRCCS PUBBLICO,21,CARDIOLOGIA,ATTIVITA CLINICA,614
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",941,ISTITUTO EUROPEO DI ONCOLOGIA,PRIVATO,IRCCS PRIVATO,61,DERMOSIFILOPATIA,ATTIVITA CLINICA,892
2015,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",924,POLICLINICO S. MATTEO - PV,PUBBLICO,IRCCS PUBBLICO,133,DIALISI IN REGIME DI RICOVERO,ATTIVITA CLINICA,1503
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,"(46.33431031, 10.32968894)",323,ATS DELLA MONTAGNA,PUBBLICO,ATS,112,CHIMICA CLINICA,LABORATORIO,1338
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,"(45.80802245, 8.837196022)",322,ATS DELL'INSUBRIA,PRIVATO,ATS,114,MICROBIOLOGIA-VIROLOGIA,LABORATORIO,235127
2016,328,ATS DI PAVIA,9.14034225,45.20086141,"(45.20086141, 9.14034225)",727,ASST DI PAVIA,PUBBLICO,ASST,81,DIAGNOSTICA PER IMMAGINI: RADIOLOGIA DIAGNOSTICA,DIAGNOSTICA PER IMMAGINI,85178
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",948,MULTIMEDICA HOLDING SPA-SESTO S.G.,PRIVATO,IRCCS PRIVATO,85,DIAGNOSTICA PER IMMAGINI: TAC,DIAGNOSTICA PER IMMAGINI,7138
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,"(45.44410928, 9.198811423)",948,MULTIMEDICA HOLDING SPA-SESTO S.G.,PRIVATO,IRCCS PRIVATO,115,LABORATORIO IN GENERE,LABORATORIO,28499
