ANNO,PROVINCIA,GENERE,GRUPPO CAUSA DI MORTE,CAUSA DI MORTE,COORDINATA X,COORDINATA Y,NUMERO DECESSI POPOLAZIONE,POSIZIONE
2013,VARESE,M,Tumori,tumori maligni-di cui tumori maligni del rene,8.80650544,45.80041256,30,"(45.80041256, 8.80650544)"
2013,PAVIA,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.14034225,45.18407925,59,"(45.18407925, 9.14034225)"
2013,CREMONA,M,Tumori,tumori maligni-di cui tumori maligni della prostata,10.0131151,45.13644491,33,"(45.13644491, 10.0131151)"
2014,BRESCIA,F,Disturbi psichici e comportamentali,demenza,10.18167955,45.51939749,184,"(45.51939749, 10.18167955)"
2012,LECCO,F,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.388156645,45.85028614,34,"(45.85028614, 9.388156645)"
2015,PAVIA,F,Tumori,tumori maligni-di cui tumori maligni della vescica,9.14034225,45.18407925,8,"(45.18407925, 9.14034225)"
2013,LODI,M,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.510140481,45.31535435,12,"(45.31535435, 9.510140481)"
2012,COMO,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.039360974,45.80216962,66,"(45.80216962, 9.039360974)"
2012,VARESE,M,Tumori,tumori non maligni (benigni e di comportamento incerto),8.80650544,45.80041256,50,"(45.80041256, 8.80650544)"
2012,SONDRIO,M,Malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,9.879429303,46.1707552,3,"(46.1707552, 9.879429303)"
2012,VARESE,F,Tumori,tumori maligni-di cui altri tumori maligni,8.80650544,45.80041256,163,"(45.80041256, 8.80650544)"
2012,MANTOVA,M,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,10.77086348,45.14135331,,"(45.14135331, 10.77086348)"
2012,LECCO,M,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,9.388156645,45.85028614,,"(45.85028614, 9.388156645)"
2013,LODI,M,Tumori,tumori non maligni (benigni e di comportamento incerto),9.510140481,45.31535435,12,"(45.31535435, 9.510140481)"
2015,MILANO,M,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.18951,45.46427,,"(45.46427, 9.18951)"
2013,MANTOVA,M,Tumori,tumori maligni-di cui leucemia,10.77086348,45.14135331,18,"(45.14135331, 10.77086348)"
2014,COMO,F,Tumori,tumori maligni-di cui tumori maligni del rene,9.039360974,45.80216962,12,"(45.80216962, 9.039360974)"
2014,ITALIA,F,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",,,9182,
2014,MILANO,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,9.18951,45.46427,175,"(45.46427, 9.18951)"
2013,CREMONA,F,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,10.0131151,45.13644491,55,"(45.13644491, 10.0131151)"
2014,SONDRIO,M,Disturbi psichici e comportamentali,demenza,9.879429303,46.1707552,16,"(46.1707552, 9.879429303)"
2015,SONDRIO,M,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,9.879429303,46.1707552,20,"(46.1707552, 9.879429303)"
2014,VARESE,F,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,8.80650544,45.80041256,34,"(45.80041256, 8.80650544)"
2013,COMO,F,Tumori,tumori maligni-di cui tumori maligni della laringe,9.039360974,45.80216962,4,"(45.80216962, 9.039360974)"
2015,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni del rene,,,2237,
2014,LODI,F,Tumori,tumori maligni-di cui tumori maligni della laringe,9.510140481,45.31535435,1,"(45.31535435, 9.510140481)"
2015,COMO,M,Tumori,tumori maligni-di cui tumori maligni della laringe,9.039360974,45.80216962,7,"(45.80216962, 9.039360974)"
2012,MONZA E DELLA BRIANZA,F,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.258430902,45.5823624,3,"(45.5823624, 9.258430902)"
2013,BERGAMO,F,Alcune malattie infettive e parassitarie,aids (malattia da hiv),9.63853045,45.68012929,2,"(45.68012929, 9.63853045)"
2015,REGIONE LOMBARDIA,F,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),,,7,
2014,LECCO,F,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.388156645,45.85028614,5,"(45.85028614, 9.388156645)"
2013,MILANO,F,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.18951,45.46427,179,"(45.46427, 9.18951)"
2015,MILANO,M,Tumori,tumori maligni-di cui leucemia,9.18951,45.46427,181,"(45.46427, 9.18951)"
2012,BERGAMO,M,Tumori,tumori maligni-di cui tumori maligni del seno,9.63853045,45.68012929,2,"(45.68012929, 9.63853045)"
2014,MANTOVA,F,Tumori,tumori non maligni (benigni e di comportamento incerto),10.77086348,45.14135331,28,"(45.14135331, 10.77086348)"
2012,LECCO,M,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.388156645,45.85028614,58,"(45.85028614, 9.388156645)"
2014,COMO,F,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.039360974,45.80216962,17,"(45.80216962, 9.039360974)"
2013,ITALIA,M,Disturbi psichici e comportamentali,demenza,,,4847,
2015,LODI,M,Tumori,tumori maligni-di cui altri tumori maligni del tessuto linfatico/ematopoietico,9.510140481,45.31535435,7,"(45.31535435, 9.510140481)"
2012,LODI,F,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.510140481,45.31535435,8,"(45.31535435, 9.510140481)"
2012,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.14034225,45.18407925,66,"(45.18407925, 9.14034225)"
2015,REGIONE LOMBARDIA,F,Disturbi psichici e comportamentali,demenza,,,2164,
2015,MILANO,F,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.18951,45.46427,29,"(45.46427, 9.18951)"
2014,BERGAMO,F,Tumori,tumori maligni-di cui leucemia,9.63853045,45.68012929,35,"(45.68012929, 9.63853045)"
2013,CREMONA,M,"Malattie endocrine, nutrizionali e metaboliche","altre malattie endocrine, nutrizionali e metaboliche",10.0131151,45.13644491,19,"(45.13644491, 10.0131151)"
2012,SONDRIO,M,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,9.879429303,46.1707552,10,"(46.1707552, 9.879429303)"
2015,ITALIA,F,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",,,986,
2012,BERGAMO,F,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,9.63853045,45.68012929,136,"(45.68012929, 9.63853045)"
2015,CREMONA,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,10.0131151,45.13644491,19,"(45.13644491, 10.0131151)"
2014,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui melanomi maligni della cute,,,145,
2013,VARESE,M,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,8.80650544,45.80041256,76,"(45.80041256, 8.80650544)"
2012,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni del rene,9.258430902,45.5823624,35,"(45.5823624, 9.258430902)"
2013,PAVIA,M,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,9.14034225,45.18407925,38,"(45.18407925, 9.14034225)"
2013,REGIONE LOMBARDIA,M,Alcune malattie infettive e parassitarie,epatite virale,,,182,
2014,PAVIA,F,Tumori,tumori maligni-di cui altri tumori maligni,9.14034225,45.18407925,137,"(45.18407925, 9.14034225)"
2013,PAVIA,M,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,9.14034225,45.18407925,38,"(45.18407925, 9.14034225)"
2015,LODI,F,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.510140481,45.31535435,1,"(45.31535435, 9.510140481)"
2013,VARESE,F,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",8.80650544,45.80041256,112,"(45.80041256, 8.80650544)"
2015,COMO,F,Tumori,tumori maligni-di cui tumori maligni del rene,9.039360974,45.80216962,13,"(45.80216962, 9.039360974)"
2015,COMO,F,Tumori,tumori maligni-di cui tumori maligni della vescica,9.039360974,45.80216962,11,"(45.80216962, 9.039360974)"
2012,MONZA E DELLA BRIANZA,M,Tumori,tumori maligni-di cui tumori maligni della laringe,9.258430902,45.5823624,13,"(45.5823624, 9.258430902)"
2015,SONDRIO,M,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.879429303,46.1707552,8,"(46.1707552, 9.879429303)"
2012,COMO,M,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,9.039360974,45.80216962,71,"(45.80216962, 9.039360974)"
2015,MANTOVA,M,Alcune malattie infettive e parassitarie,aids (malattia da hiv),10.77086348,45.14135331,6,"(45.14135331, 10.77086348)"
2013,CREMONA,M,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",10.0131151,45.13644491,10,"(45.13644491, 10.0131151)"
2015,MANTOVA,M,Tumori,tumori maligni-di cui tumori maligni della tiroide,10.77086348,45.14135331,2,"(45.14135331, 10.77086348)"
2015,MONZA E DELLA BRIANZA,F,Alcune malattie infettive e parassitarie,tubercolosi,9.258430902,45.5823624,1,"(45.5823624, 9.258430902)"
2012,MONZA E DELLA BRIANZA,F,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.258430902,45.5823624,101,"(45.5823624, 9.258430902)"
2013,BERGAMO,F,Tumori,tumori maligni-di cui tumori maligni del seno,9.63853045,45.68012929,210,"(45.68012929, 9.63853045)"
2014,COMO,F,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.039360974,45.80216962,53,"(45.80216962, 9.039360974)"
2014,BRESCIA,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,10.18167955,45.51939749,118,"(45.51939749, 10.18167955)"
2012,REGIONE LOMBARDIA,F,Tumori,tumori non maligni (benigni e di comportamento incerto),,,646,
2014,CREMONA,F,Tumori,tumori maligni-di cui tumori maligni della prostata,10.0131151,45.13644491,,"(45.13644491, 10.0131151)"
2012,BRESCIA,F,Malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,10.18167955,45.51939749,22,"(45.51939749, 10.18167955)"
2013,MONZA E DELLA BRIANZA,F,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.258430902,45.5823624,3,"(45.5823624, 9.258430902)"
2014,MANTOVA,M,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",10.77086348,45.14135331,13,"(45.14135331, 10.77086348)"
2015,MANTOVA,F,Tumori,tumori maligni-di cui leucemia,10.77086348,45.14135331,13,"(45.14135331, 10.77086348)"
2014,LECCO,M,Tumori,tumori maligni-di cui tumori maligni della vescica,9.388156645,45.85028614,19,"(45.85028614, 9.388156645)"
2013,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,,,3334,
2015,BRESCIA,F,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",10.18167955,45.51939749,209,"(45.51939749, 10.18167955)"
2012,SONDRIO,M,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,9.879429303,46.1707552,17,"(46.1707552, 9.879429303)"
2012,MANTOVA,M,Alcune malattie infettive e parassitarie,aids (malattia da hiv),10.77086348,45.14135331,7,"(45.14135331, 10.77086348)"
2015,SONDRIO,M,Disturbi psichici e comportamentali,demenza,9.879429303,46.1707552,18,"(46.1707552, 9.879429303)"
2012,LECCO,M,Tumori,tumori maligni-di cui tumori maligni del seno,9.388156645,45.85028614,2,"(45.85028614, 9.388156645)"
2015,MILANO,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.18951,45.46427,122,"(45.46427, 9.18951)"
2012,MANTOVA,F,Tumori,tumori maligni-di cui tumori maligni della laringe,10.77086348,45.14135331,1,"(45.14135331, 10.77086348)"
2013,SONDRIO,F,Tumori,tumori maligni-di cui altri tumori maligni,9.879429303,46.1707552,48,"(46.1707552, 9.879429303)"
2012,CREMONA,M,Tumori,tumori maligni-di cui tumori maligni del pancreas,10.0131151,45.13644491,41,"(45.13644491, 10.0131151)"
2012,LECCO,M,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.388156645,45.85028614,14,"(45.85028614, 9.388156645)"
2015,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,,,445,
2012,PAVIA,F,"Malattie endocrine, nutrizionali e metaboliche","altre malattie endocrine, nutrizionali e metaboliche",9.14034225,45.18407925,48,"(45.18407925, 9.14034225)"
2012,BERGAMO,F,Tumori,tumori maligni-di cui leucemia,9.63853045,45.68012929,38,"(45.68012929, 9.63853045)"
2013,MILANO,F,Tumori,tumori maligni-di cui tumori maligni della prostata,9.18951,45.46427,,"(45.46427, 9.18951)"
2012,COMO,F,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,9.039360974,45.80216962,41,"(45.80216962, 9.039360974)"
2014,LODI,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.510140481,45.31535435,19,"(45.31535435, 9.510140481)"
2015,MILANO,F,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.18951,45.46427,61,"(45.46427, 9.18951)"
2013,PAVIA,M,"Malattie endocrine, nutrizionali e metaboliche","altre malattie endocrine, nutrizionali e metaboliche",9.14034225,45.18407925,18,"(45.18407925, 9.14034225)"
2015,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui altri tumori maligni,,,2067,
2014,REGIONE LOMBARDIA,F,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,,,685,
2012,PAVIA,M,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.14034225,45.18407925,15,"(45.18407925, 9.14034225)"
2014,SONDRIO,M,Tumori,tumori maligni-di cui tumori maligni della laringe,9.879429303,46.1707552,5,"(46.1707552, 9.879429303)"
2013,MANTOVA,M,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",10.77086348,45.14135331,69,"(45.14135331, 10.77086348)"
2013,CREMONA,F,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",10.0131151,45.13644491,67,"(45.13644491, 10.0131151)"
2015,BERGAMO,M,Tumori,tumori maligni-di cui tumori maligni del seno,9.63853045,45.68012929,2,"(45.68012929, 9.63853045)"
2012,MILANO,M,Tumori,tumori maligni-di cui leucemia,9.18951,45.46427,189,"(45.46427, 9.18951)"
2014,CREMONA,F,Alcune malattie infettive e parassitarie,aids (malattia da hiv),10.0131151,45.13644491,1,"(45.13644491, 10.0131151)"
2015,MANTOVA,M,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),10.77086348,45.14135331,1,"(45.14135331, 10.77086348)"
2013,SONDRIO,M,Alcune malattie infettive e parassitarie,aids (malattia da hiv),9.879429303,46.1707552,3,"(46.1707552, 9.879429303)"
2013,LODI,M,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.510140481,45.31535435,25,"(45.31535435, 9.510140481)"
2013,VARESE,M,Tumori,tumori non maligni (benigni e di comportamento incerto),8.80650544,45.80041256,83,"(45.80041256, 8.80650544)"
2013,SONDRIO,F,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,9.879429303,46.1707552,10,"(46.1707552, 9.879429303)"
2015,SONDRIO,F,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,9.879429303,46.1707552,2,"(46.1707552, 9.879429303)"
2013,MILANO,F,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,9.18951,45.46427,202,"(45.46427, 9.18951)"
2015,VARESE,M,Tumori,tumori maligni-di cui tumori maligni del seno,8.80650544,45.80041256,2,"(45.80041256, 8.80650544)"
2015,BERGAMO,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.63853045,45.68012929,92,"(45.68012929, 9.63853045)"
2014,BERGAMO,M,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,9.63853045,45.68012929,,"(45.68012929, 9.63853045)"
2012,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni dell'ovaio,,,,
2013,LECCO,F,Tumori,tumori maligni-di cui tumori maligni del cervello e del sistema nervoso centrale,9.388156645,45.85028614,7,"(45.85028614, 9.388156645)"
2013,MILANO,F,Alcune malattie infettive e parassitarie,tubercolosi,9.18951,45.46427,6,"(45.46427, 9.18951)"
2014,MILANO,F,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",9.18951,45.46427,44,"(45.46427, 9.18951)"
2012,MANTOVA,F,Disturbi psichici e comportamentali,demenza,10.77086348,45.14135331,60,"(45.14135331, 10.77086348)"
2013,LODI,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.510140481,45.31535435,41,"(45.31535435, 9.510140481)"
2015,CREMONA,F,Tumori,"tumori maligni-di cui tumori maligni delle labbra, cavità orale e faringe",10.0131151,45.13644491,9,"(45.13644491, 10.0131151)"
2015,PAVIA,F,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.14034225,45.18407925,62,"(45.18407925, 9.14034225)"
2015,ITALIA,M,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,,,,
2012,CREMONA,M,Disturbi psichici e comportamentali,demenza,10.0131151,45.13644491,22,"(45.13644491, 10.0131151)"
2012,SONDRIO,F,Tumori,tumori maligni-di cui tumori maligni dell'esofago,9.879429303,46.1707552,2,"(46.1707552, 9.879429303)"
2014,ITALIA,F,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",,,8549,
2012,MONZA E DELLA BRIANZA,F,Tumori,tumori maligni-di cui altri tumori maligni del tessuto linfatico/ematopoietico,9.258430902,45.5823624,27,"(45.5823624, 9.258430902)"
2013,PAVIA,F,Disturbi psichici e comportamentali,"dipendenza da droghe, tossicomania",9.14034225,45.18407925,,"(45.18407925, 9.14034225)"
2012,SONDRIO,F,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.879429303,46.1707552,18,"(46.1707552, 9.879429303)"
2013,MONZA E DELLA BRIANZA,F,Tumori,tumori maligni-di cui tumori maligni del seno,9.258430902,45.5823624,210,"(45.5823624, 9.258430902)"
2014,BERGAMO,M,Alcune malattie infettive e parassitarie,tubercolosi,9.63853045,45.68012929,3,"(45.68012929, 9.63853045)"
2014,BRESCIA,M,Tumori,tumori maligni-di cui altri tumori maligni,10.18167955,45.51939749,237,"(45.51939749, 10.18167955)"
2014,COMO,M,"Malattie endocrine, nutrizionali e metaboliche","altre malattie endocrine, nutrizionali e metaboliche",9.039360974,45.80216962,10,"(45.80216962, 9.039360974)"
2012,LECCO,F,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.388156645,45.85028614,1,"(45.85028614, 9.388156645)"
2014,MANTOVA,F,Tumori,tumori maligni-di cui tumori maligni dell'esofago,10.77086348,45.14135331,3,"(45.14135331, 10.77086348)"
2013,PAVIA,F,Tumori,tumori maligni-di cui tumori maligni della prostata,9.14034225,45.18407925,,"(45.18407925, 9.14034225)"
2013,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni della tiroide,,,337,
2012,VARESE,F,Tumori,tumori maligni-di cui tumori maligni del pancreas,8.80650544,45.80041256,67,"(45.80041256, 8.80650544)"
2013,VARESE,M,Disturbi psichici e comportamentali,abuso di alcool (compresa psicosi alcolica),8.80650544,45.80041256,,"(45.80041256, 8.80650544)"
2014,MONZA E DELLA BRIANZA,M,Alcune malattie infettive e parassitarie,epatite virale,9.258430902,45.5823624,13,"(45.5823624, 9.258430902)"
2012,SONDRIO,F,Alcune malattie infettive e parassitarie,tubercolosi,9.879429303,46.1707552,,"(46.1707552, 9.879429303)"
2014,MILANO,M,Tumori,tumori maligni-di cui tumori maligni del pancreas,9.18951,45.46427,304,"(45.46427, 9.18951)"
2014,LODI,F,Malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,9.510140481,45.31535435,8,"(45.31535435, 9.510140481)"
2015,COMO,M,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.039360974,45.80216962,92,"(45.80216962, 9.039360974)"
2015,REGIONE LOMBARDIA,M,Tumori,tumori maligni-di cui leucemia,,,524,
2013,MILANO,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.18951,45.46427,280,"(45.46427, 9.18951)"
2014,ITALIA,M,Alcune malattie infettive e parassitarie,epatite virale,,,1313,
2014,PAVIA,M,Tumori,tumori non maligni (benigni e di comportamento incerto),9.14034225,45.18407925,46,"(45.18407925, 9.14034225)"
2013,MANTOVA,M,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,10.77086348,45.14135331,,"(45.14135331, 10.77086348)"
2012,BERGAMO,F,Tumori,tumori maligni-di cui tumori maligni della tiroide,9.63853045,45.68012929,4,"(45.68012929, 9.63853045)"
2013,BRESCIA,M,Tumori,tumori maligni-di cui tumori maligni della laringe,10.18167955,45.51939749,20,"(45.51939749, 10.18167955)"
2015,BERGAMO,F,Tumori,tumori maligni-di cui tumori maligni della laringe,9.63853045,45.68012929,2,"(45.68012929, 9.63853045)"
2013,CREMONA,M,Alcune malattie infettive e parassitarie,aids (malattia da hiv),10.0131151,45.13644491,1,"(45.13644491, 10.0131151)"
2013,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni del rene,9.14034225,45.18407925,20,"(45.18407925, 9.14034225)"
2014,REGIONE LOMBARDIA,M,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,,,,
2013,CREMONA,F,Tumori,tumori maligni-di cui melanomi maligni della cute,10.0131151,45.13644491,6,"(45.13644491, 10.0131151)"
2013,BRESCIA,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,10.18167955,45.51939749,135,"(45.51939749, 10.18167955)"
2012,ITALIA,F,Cause esterne di traumatismo e avvelenamento,accidenti-di cui accidenti di trasporto,,,827,
2014,REGIONE LOMBARDIA,M,Tumori,tumori maligni-di cui tumori maligni della vescica,,,588,
2015,SONDRIO,F,Tumori,"tumori maligni-di cui tumori maligni del colon, del retto e dell'ano",9.879429303,46.1707552,18,"(46.1707552, 9.879429303)"
2014,REGIONE LOMBARDIA,F,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,,,1151,
2014,BERGAMO,F,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,9.63853045,45.68012929,61,"(45.68012929, 9.63853045)"
2014,SONDRIO,F,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,9.879429303,46.1707552,6,"(46.1707552, 9.879429303)"
2015,MANTOVA,M,Alcune malattie infettive e parassitarie,tubercolosi,10.77086348,45.14135331,2,"(45.14135331, 10.77086348)"
2015,BRESCIA,F,Tumori,tumori maligni-di cui tumori maligni del seno,10.18167955,45.51939749,259,"(45.51939749, 10.18167955)"
2012,PAVIA,M,Tumori,tumori maligni-di cui tumori maligni della vescica,9.14034225,45.18407925,39,"(45.18407925, 9.14034225)"
2015,COMO,F,Tumori,tumori maligni-di cui tumori maligni della prostata,9.039360974,45.80216962,,"(45.80216962, 9.039360974)"
2013,SONDRIO,M,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.879429303,46.1707552,,"(46.1707552, 9.879429303)"
2012,SONDRIO,M,"Malattie endocrine, nutrizionali e metaboliche","altre malattie endocrine, nutrizionali e metaboliche",9.879429303,46.1707552,7,"(46.1707552, 9.879429303)"
2012,LECCO,M,Tumori,tumori maligni-di cui leucemia,9.388156645,45.85028614,14,"(45.85028614, 9.388156645)"
2015,COMO,F,Alcune malattie infettive e parassitarie,epatite virale,9.039360974,45.80216962,12,"(45.80216962, 9.039360974)"
2014,SONDRIO,F,Tumori,tumori maligni-di cui tumori maligni della cervice uterina,9.879429303,46.1707552,2,"(46.1707552, 9.879429303)"
2013,VARESE,F,Tumori,tumori maligni-di cui altri tumori maligni del tessuto linfatico/ematopoietico,8.80650544,45.80041256,21,"(45.80041256, 8.80650544)"
2013,VARESE,M,Tumori,tumori maligni-di cui tumori maligni della prostata,8.80650544,45.80041256,79,"(45.80041256, 8.80650544)"
2014,REGIONE LOMBARDIA,M,Tumori,tumori maligni-di cui tumori maligni del fegato e dei dotti biliari intraepatici,,,1322,
2012,MILANO,F,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.18951,45.46427,605,"(45.46427, 9.18951)"
2015,LECCO,M,Disturbi psichici e comportamentali,demenza,9.388156645,45.85028614,31,"(45.85028614, 9.388156645)"
2015,ITALIA,F,Malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,,,1905,
2014,LECCO,M,Tumori,tumori maligni-di cui tumori maligni dello stomaco,9.388156645,45.85028614,43,"(45.85028614, 9.388156645)"
2015,SONDRIO,F,Tumori,tumori maligni-di cui leucemia,9.879429303,46.1707552,8,"(46.1707552, 9.879429303)"
2013,CREMONA,F,Tumori,tumori maligni-di cui morbo di hodgkin e linfomi,10.0131151,45.13644491,25,"(45.13644491, 10.0131151)"
2012,BERGAMO,F,Tumori,tumori maligni-di cui melanomi maligni della cute,9.63853045,45.68012929,21,"(45.68012929, 9.63853045)"
2015,REGIONE LOMBARDIA,M,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,,,1091,
2013,LODI,M,Tumori,tumori maligni-di cui tumori maligni della vescica,9.510140481,45.31535435,15,"(45.31535435, 9.510140481)"
2015,MANTOVA,M,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,10.77086348,45.14135331,,"(45.14135331, 10.77086348)"
2012,BRESCIA,F,Tumori,tumori maligni-di cui altri tumori maligni,10.18167955,45.51939749,243,"(45.51939749, 10.18167955)"
2014,MANTOVA,M,"Malattie endocrine, nutrizionali e metaboliche",diabete mellito,10.77086348,45.14135331,59,"(45.14135331, 10.77086348)"
2014,LECCO,M,Tumori,tumori maligni-di cui tumori maligni di altre parti dell'utero,9.388156645,45.85028614,,"(45.85028614, 9.388156645)"
2013,MANTOVA,F,Tumori,tumori maligni-di cui tumori maligni della tiroide,10.77086348,45.14135331,4,"(45.14135331, 10.77086348)"
2013,BERGAMO,M,Tumori,"tumori maligni-di cui tumori maligni della trachea, dei bronchi e dei polmoni",9.63853045,45.68012929,388,"(45.68012929, 9.63853045)"
2013,COMO,M,Malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,malattie del sangue e degli organi ematopoietici ed alcuni disturbi del sistema immunitario,9.039360974,45.80216962,12,"(45.80216962, 9.039360974)"
2013,COMO,M,Tumori,tumori maligni-di cui tumori maligni della tiroide,9.039360974,45.80216962,4,"(45.80216962, 9.039360974)"
2013,SONDRIO,M,Tumori,tumori maligni-di cui altri tumori maligni del tessuto linfatico/ematopoietico,9.879429303,46.1707552,8,"(46.1707552, 9.879429303)"
2014,ITALIA,F,Tumori,tumori maligni-di cui tumori maligni del seno,,,12166,
2012,SONDRIO,F,Disturbi psichici e comportamentali,"dipendenza da droghe, tossicomania",9.879429303,46.1707552,,"(46.1707552, 9.879429303)"
2014,REGIONE LOMBARDIA,F,Alcune malattie infettive e parassitarie,altre malattie infettive e parassitarie,,,973,
2015,LECCO,F,Tumori,tumori maligni-di cui tumori maligni della laringe,9.388156645,45.85028614,,"(45.85028614, 9.388156645)"
2013,PAVIA,F,Tumori,tumori maligni-di cui altri tumori maligni,9.14034225,45.18407925,145,"(45.18407925, 9.14034225)"
