ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE DISCIPLINA,DESCRIZIONE DISCIPLINA,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030112-00,IST.CLINICO S.AMBROGIO SPA-MILANO,36,ORTOPEDIA E TRAUMATOLOGIA,4.922819,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",61,MEDICINA NUCLEARE,3.311475,0
2015,327 - ATS DELLA VAL PADANA,030907-00,OSPEDALE C. POMA - MANTOVA,29,NEFROLOGIA,11.684848,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030283-00,OSPEDALE G.CASATI-PASSIRANA RHO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,22.913247,0
2014,324 - ATS DELLA BRIANZA,030944-00,FONDAZIONE S. MAUGERI - LISSONE,56,RECUPERO E RIABILITAZIONE FUNZIONALE,44.141066,0
2013,322 - ATS DELL'INSUBRIA,030010-00,OSPEDALE GALMARINI - TRADATE,34,OCULISTICA,1.105263,1
2013,328 - ATS DI PAVIA,030939-00,FOND.IST.NEUROL.C.MONDINO-PAVIA,60,LUNGODEGENTI,44.285714,0
2017,327 - ATS DELLA VAL PADANA,030227-01,PRESIDIO OSPEDALIERO - ASOLA,37,OSTETRICIA E GINECOLOGIA,3.071523,1
2017,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,64,ONCOLOGIA,9.670391,0
2015,324 - ATS DELLA BRIANZA,030381-00,FOND. MB PER IL BAMBINO E LA SUA MAMMA - MONZA,73,TERAPIA INTENSIVA NEONATALE,9.226087,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030925-00,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,10,CHIRURGIA MAXILLO-FACCIALE,4.662088,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030916-00,OSPEDALE L. SACCO - MILANO,64,ONCOLOGIA,11.148026,0
2017,324 - ATS DELLA BRIANZA,030033-00,CASA DI CURA BEATO L.TALAMONI-LECCO,09,CHIRURGIA GENERALE,2.574803,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,50,UNITA' CORONARICA,18.75,0
2017,327 - ATS DELLA VAL PADANA,030219-00,CASA DI CURA FIGLIE DI S.CAMILLO-CR,43,UROLOGIA,6.276527,1
2016,326 - ATS DI BRESCIA,030162-00,PRESIDIO OSPEDALIERO GARDONE V.T.,09,CHIRURGIA GENERALE,7.888235,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030058-00,OSPEDALE BASSINI - CINISELLO BALSAMO,40,PSICHIATRIA,16.043887,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030948-00,IRCCS MULTIMEDICA - MILANO,07,CARDIOCHIRURGIA,13.761658,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-01,OSPEDALE DI  VIZZOLO PREDABISSI,32,NEUROLOGIA,9.753555,0
2013,326 - ATS DI BRESCIA,030163-00,PRESIDIO OSPEDALIERO DI ISEO,40,PSICHIATRIA,12.546218,0
2014,323 - ATS DELLA MONTAGNA,030026-00,OSPEDALE ERBA-  RENALDI - MENAGGIO,49,TERAPIA INTENSIVA,19.096154,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO - MILANO,34,OCULISTICA,2.228535,0
2016,328 - ATS DI PAVIA,030190-00,OSPEDALE CARLO MIRA-CASORATE PRIMO,60,LUNGODEGENTI,37.965174,0
2016,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,15.090293,0
2016,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,52,DERMATOLOGIA,11.293893,1
2015,323 - ATS DELLA MONTAGNA,030274-01,OSPEDALE VALCAMONICA - ESINE,31,NIDO,3.833333,0
2014,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,22.761039,0
2014,327 - ATS DELLA VAL PADANA,030239-00,OSP.CIVILE DESTRA SECCHIA-PIEVE CORIANO,37,OSTETRICIA E GINECOLOGIA,3.321463,1
2014,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,08,CARDIOLOGIA,8.107143,1
2016,323 - ATS DELLA MONTAGNA,030044-00,OSPEDALE DI CHIAVENNA,31,NIDO,1.777778,0
2016,327 - ATS DELLA VAL PADANA,030273-00,PRESIDIO OSPEDALIERO OGLIO PO-CASALMAGGIORE,40,PSICHIATRIA,13.494024,0
2016,322 - ATS DELL'INSUBRIA,030902-00,OSPEDALE S. ANNA - COMO,32,NEUROLOGIA,12.139259,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,08,CARDIOLOGIA,4.102041,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,37,OSTETRICIA E GINECOLOGIA,4.25,0
2016,326 - ATS DI BRESCIA,030942-00,IRCCS S.GIOVANNI DI DIO-FBF- BRESCIA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,30.296852,0
2016,327 - ATS DELLA VAL PADANA,030357-00,OSP. SAN PELLEGRINO - CASTIGLIONE D/S,49,TERAPIA INTENSIVA,12.220339,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-02,IST.AUXOLOGICO ITAL.-I.S. S.MICHELE-MILANO,02,DAY HOSPITAL,0,1.439716
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030281-01,OSPEDALE CIVILE DI LEGNANO,34,OCULISTICA,1.955556,0
2014,327 - ATS DELLA VAL PADANA,030218-00,CASA DI CURA S. CAMILLO - CREMONA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,15.745928,0
2016,323 - ATS DELLA MONTAGNA,030031-00,OSP. MORIGGIA PELASCINI - GRAVEDONA,34,OCULISTICA,1.142857,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030056-00,PRESIDIO OSPED. V. BUZZI - MILANO,73,TERAPIA INTENSIVA NEONATALE,11.075472,0
2013,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,49,TERAPIA INTENSIVA,5,0
2017,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,34,OCULISTICA,3.383138,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030911-00,ISTITUTO ORTOPEDICO GAETANO PINI - MILANO,60,LUNGODEGENTI,18.2,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030112-00,IST.CLINICO S.AMBROGIO SPA-MILANO,13,CHIRURGIA TORACICA,4.159091,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,38,OTORINOLARINGOIATRIA,4.82582,1
2015,322 - ATS DELL'INSUBRIA,030022-00,OSPEDALE S. ANTONIO ABATE - CANTU',40,PSICHIATRIA,11.354762,0
2014,324 - ATS DELLA BRIANZA,030106-00,CASA DI CURA POLICLINICO - MONZA,50,UNITA' CORONARICA,5.769231,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030087-00,OSPEDALE CADUTI BOLLATESI - BOLLATE,29,NEFROLOGIA,12,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030079-00,OSPEDALE CIVICO - CODOGNO,40,PSICHIATRIA,11.664198,0
2016,328 - ATS DI PAVIA,030198-00,ISTITUTO CLINICO BEATO MATTEO,34,OCULISTICA,1,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",7.230769,0
2016,324 - ATS DELLA BRIANZA,030109-00,CASA DI CURA VILLA BIANCA - LIMBIATE,75,NEURO-RIABILITAZIONE,39.185915,0
2016,328 - ATS DI PAVIA,030190-00,OSPEDALE CARLO MIRA-CASORATE PRIMO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,26.453815,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,56,RECUPERO E RIABILITAZIONE FUNZIONALE,28.060241,0
2016,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,40,PSICHIATRIA,18.870079,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,67,PENSIONANTI,2.916667,0
2013,323 - ATS DELLA MONTAGNA,030031-00,OSP. MORIGGIA PELASCINI - GRAVEDONA,31,NIDO,4.2,0
2016,325 - ATS DI BERGAMO,030905-00,OSPEDALE PAPA GIOVANNI XXIII - BG,28,UNITA' SPINALE,67.776119,0
2017,328 - ATS DI PAVIA,030201-00,CASA DI CURA CITTADELLA SOCIALE,56,RECUPERO E RIABILITAZIONE FUNZIONALE,22.858065,0
2014,327 - ATS DELLA VAL PADANA,030907-00,OSPEDALE C. POMA - MANTOVA,50,UNITA' CORONARICA,6.075,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,31,NIDO,3.795082,0
2017,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,40,PSICHIATRIA,9.708758,0
2017,326 - ATS DI BRESCIA,030156-00,OSPEDALE DI DESENZANO,31,NIDO,7.094203,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,34,OCULISTICA,2.275862,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,62,NEONATOLOGIA,7.725,0
2017,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,62,NEONATOLOGIA,20.747423,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,34,OCULISTICA,2.580925,0
2017,322 - ATS DELL'INSUBRIA,030347-00,CASA DI CURA VILLA S. GIUSEPPE-ANZANO DEL PARCO ,RM,RIABILITAZIONE DI MANTENIMENTO,30.39823,0
2017,322 - ATS DELL'INSUBRIA,030282-01,OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO,36,ORTOPEDIA E TRAUMATOLOGIA,1.59,0
2013,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,20,IMMUNOLOGIA,0,6.25
2014,327 - ATS DELLA VAL PADANA,030907-00,OSPEDALE C. POMA - MANTOVA,73,TERAPIA INTENSIVA NEONATALE,22.75,0
2015,326 - ATS DI BRESCIA,030368-00,C.TRO RIAB.E.SPALENZA-FOND.DON GNOCCHI,75,NEURO-RIABILITAZIONE,94.380952,0
2016,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,73,TERAPIA INTENSIVA NEONATALE,21.083333,0
2017,324 - ATS DELLA BRIANZA,030078-00,PRESIDIO OSPEDALIERO DI VIMERCATE,40,PSICHIATRIA,14.748603,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030097-00,ISTITUTO CLINICO CITTA' STUDI - MILANO,60,LUNGODEGENTI,27.666667,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,31,NIDO,3.724138,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030083-00,OSPEDALE DELMATI - SANT'ANGELO LODIGIANO,60,LUNGODEGENTI,26.285714,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030067-00,OSPEDALE MAGGIORE - LODI,73,TERAPIA INTENSIVA NEONATALE,1.5,0
2012,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,73,TERAPIA INTENSIVA NEONATALE,12.272727,0
2015,326 - ATS DI BRESCIA,030158-00,OSPEDALE DI LENO,40,PSICHIATRIA,19.406015,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030912-00,P.O. CENTRO TRAUMATOLOGICO ORTOPEDICO - MILANO,32,NEUROLOGIA,3.2125,1
2016,328 - ATS DI PAVIA,030924-00,POLICLINICO S. MATTEO - PAVIA,51,ASTANTERIA,1,0
2015,328 - ATS DI PAVIA,030191-00,OSPEDALE S.MARTINO - MEDE,60,LUNGODEGENTI,38,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,37,OSTETRICIA E GINECOLOGIA,4.3717,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030104-00,CASA DI CURA S.RAFFAELE TURRO,43,UROLOGIA,3.989144,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,39,PEDIATRIA,3.056325,1
2012,327 - ATS DELLA VAL PADANA,030218-00,CASA DI CURA S. CAMILLO - CREMONA,43,UROLOGIA,4.177677,1
2012,325 - ATS DI BERGAMO,030144-00,CASA DI CURA BEATO PALAZZOLO - BERGAMO,09,CHIRURGIA GENERALE,1.809524,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030943-00,IST. CLIN. HUMANITAS - ROZZANO,36,ORTOPEDIA E TRAUMATOLOGIA,3.999794,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-00,OSPEDALE DI CIRCOLO PREDABISSI-MELEGNANO,37,OSTETRICIA E GINECOLOGIA,3.970565,1
2012,322 - ATS DELL'INSUBRIA,030901-00,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,38,OTORINOLARINGOIATRIA,5.2113,1
2012,325 - ATS DI BERGAMO,030905-00,OSPEDALI RIUNITI - BERGAMO,34,OCULISTICA,2.147959,1
2012,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,38,OTORINOLARINGOIATRIA,3.623974,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,36,ORTOPEDIA E TRAUMATOLOGIA,6.086284,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,26,MEDICINA GENERALE,9.369164,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,64,ONCOLOGIA,15.806094,22.666667
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030911-00,ISTITUTO ORTOPEDICO GAETANO PINI,56,RECUPERO E RIABILITAZIONE FUNZIONALE,18.895442,0
2012,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO S.P.A.,26,MEDICINA GENERALE,8.152799,5.8
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",7.575893,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030125-00,CASA DI CURA AMBROSIANA SPA-CESANO B.,64,ONCOLOGIA,11.965517,0
2012,325 - ATS DI BERGAMO,030146-00,CASA DI CURA S. FRANCESCO - BERGAMO,32,NEUROLOGIA,6.26087,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO,26,MEDICINA GENERALE,11.095312,1.666667
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,26,MEDICINA GENERALE,10.391076,1
2012,325 - ATS DI BERGAMO,030905-00,OSPEDALI RIUNITI - BERGAMO,33,NEUROPSICHIATRIA INFANTILE,0,1.019048
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,08,CARDIOLOGIA,7.362385,1
2012,326 - ATS DI BRESCIA,030176-00,CASA DI CURA S. ANNA - BRESCIA,08,CARDIOLOGIA,5.648333,0
2012,325 - ATS DI BERGAMO,030145-00,CASA DI CURA CASTELLI - BERGAMO,26,MEDICINA GENERALE,7.088,0
2012,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,50,UNITA' CORONARICA,5.517766,0
2012,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,08,CARDIOLOGIA,7.710526,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",10,CHIRURGIA MAXILLO-FACCIALE,8.707071,0
2013,323 - ATS DELLA MONTAGNA,030042-00,OSPEDALE SONDRIO,26,MEDICINA GENERALE,10.797458,0
2013,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,26,MEDICINA GENERALE,10.491391,0
2013,322 - ATS DELL'INSUBRIA,030012-00,OSPEDALE CARLO ONDOLI - ANGERA,09,CHIRURGIA GENERALE,6.149631,1
2012,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,12,CHIRURGIA PLASTICA,1.678652,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,26.737736,0
2012,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,64,ONCOLOGIA,0,3.792373
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO,40,PSICHIATRIA,10.549569,4.333333
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-00,OSPEDALE DI CIRCOLO PREDABISSI-MELEGNANO,40,PSICHIATRIA,12.012195,0
2012,324 - ATS DELLA BRIANZA,030024-00,"OSPEDALE DI CIRCOLO""S.L.MANDIC""- MERATE",49,TERAPIA INTENSIVA,12.808824,1
2013,327 - ATS DELLA VAL PADANA,030218-00,CASA DI CURA S. CAMILLO - CREMONA,09,CHIRURGIA GENERALE,2.359477,1
2013,322 - ATS DELL'INSUBRIA,030012-00,OSPEDALE CARLO ONDOLI - ANGERA,26,MEDICINA GENERALE,8.356546,4
2013,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,43,UROLOGIA,3.395726,0
2013,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,36,ORTOPEDIA E TRAUMATOLOGIA,2.884984,1
2013,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,36,ORTOPEDIA E TRAUMATOLOGIA,10.446199,1
2013,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,12,CHIRURGIA PLASTICA,1.507071,1
2013,322 - ATS DELL'INSUBRIA,030902-00,OSPEDALE S. ANNA - COMO,30,NEUROCHIRURGIA,9.776271,0
2013,325 - ATS DI BERGAMO,030149-00,CASA DI CURA QUARENGHI-S.PELLEGRINO T.,56,RECUPERO E RIABILITAZIONE FUNZIONALE,23.174895,0
2013,325 - ATS DI BERGAMO,030905-00,OSPEDALE PAPA GIOVANNI XXIII - BG,62,NEONATOLOGIA,26.647383,1.052632
2013,323 - ATS DELLA MONTAGNA,030035-00,C.O.F. LANZO HOSPITAL - RAMPONIO VERNA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,22.930267,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,36,ORTOPEDIA E TRAUMATOLOGIA,12.129032,1
2013,325 - ATS DI BERGAMO,030143-00,CLINICHE GAVAZZENI SPA - BERGAMO,08,CARDIOLOGIA,5.518031,1
2013,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,09,CHIRURGIA GENERALE,3.91782,0
2013,324 - ATS DELLA BRIANZA,030081-00,PRESIDIO OSPEDALIERO   DI GIUSSANO,08,CARDIOLOGIA,6.306796,0
2013,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,26,MEDICINA GENERALE,9.639225,1
2013,322 - ATS DELL'INSUBRIA,030003-00,OSPEDALE F. DEL PONTE - VARESE,33,NEUROPSICHIATRIA INFANTILE,0,1.469811
2012,326 - ATS DI BRESCIA,030167-00,OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA,73,TERAPIA INTENSIVA NEONATALE,12.123457,0
2012,322 - ATS DELL'INSUBRIA,030006-00,OSP. S. ANTONIO ABATE - GALLARATE,51,ASTANTERIA,3.104651,0
2013,328 - ATS DI PAVIA,030939-00,FOND.IST.NEUROL.C.MONDINO-PAVIA,32,NEUROLOGIA,7.821513,1.611111
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,07,CARDIOCHIRURGIA,12.865169,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,68,PNEUMOLOGIA,10.80719,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030943-00,IST. CLIN. HUMANITAS - ROZZANO,07,CARDIOCHIRURGIA,11.981061,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,09,CHIRURGIA GENERALE,7.236209,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030935-00,IRCCS    S. RAFFAELE - MILANO,24,MALATTIE INFETTIVE E TROPICALI,19.081028,2
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030935-00,IRCCS    S. RAFFAELE - MILANO,26,MEDICINA GENERALE,11.332525,6.128205
2013,323 - ATS DELLA MONTAGNA,030031-00,OSP. MORIGGIA PELASCINI - GRAVEDONA,49,TERAPIA INTENSIVA,12.784483,0
2014,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,37,OSTETRICIA E GINECOLOGIA,3.721088,1
2014,326 - ATS DI BRESCIA,030275-00,ISTITUTO CLINICO S. ROCCO S.P.A. - OME,12,CHIRURGIA PLASTICA,1.716535,0
2014,327 - ATS DELLA VAL PADANA,030259-00,CASA DI CURA S. CLEMENTE - MANTOVA,36,ORTOPEDIA E TRAUMATOLOGIA,3.188291,1
2013,325 - ATS DI BERGAMO,030148-00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,09,CHIRURGIA GENERALE,5.362595,1
2014,328 - ATS DI PAVIA,030924-00,POLICLINICO S. MATTEO - PAVIA,36,ORTOPEDIA E TRAUMATOLOGIA,4.644011,0
2014,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,26,MEDICINA GENERALE,11.683544,4.2
2014,328 - ATS DI PAVIA,030198-00,ISTITUTO CLINICO BEATO MATTEO,26,MEDICINA GENERALE,7.782743,1.1875
2014,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,58,GASTROENTEROLOGIA,10.977099,0
2014,328 - ATS DI PAVIA,030924-00,POLICLINICO S. MATTEO - PAVIA,62,NEONATOLOGIA,19.905013,0
2014,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,32,NEUROLOGIA,8.511084,0
2013,326 - ATS DI BRESCIA,030162-00,PRESIDIO OSPEDALIERO GARDONE V.T.,36,ORTOPEDIA E TRAUMATOLOGIA,8.049531,1
2014,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,36,ORTOPEDIA E TRAUMATOLOGIA,4.210325,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,39,PEDIATRIA,3.47897,1
2014,325 - ATS DI BERGAMO,030147-00,POLICLINICO SAN MARCO - OSIO SOTTO,09,CHIRURGIA GENERALE,5.696565,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,32,NEUROLOGIA,9.950506,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,43,UROLOGIA,4.29281,0
2013,322 - ATS DELL'INSUBRIA,030364-00,FOND. GAETANO E PIERA BORGHI - BREBBIA,60,LUNGODEGENTI,41.805195,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030922-00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",37,OSTETRICIA E GINECOLOGIA,5.22427,1
2014,325 - ATS DI BERGAMO,030905-00,OSPEDALE PAPA GIOVANNI XXIII - BG,38,OTORINOLARINGOIATRIA,3.602234,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-01,IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILANO,26,MEDICINA GENERALE,11.530612,1
2014,325 - ATS DI BERGAMO,030145-00,CLINICA  CASTELLI - BERGAMO,43,UROLOGIA,2.79386,0
2014,322 - ATS DELL'INSUBRIA,030032-00,IST.CLINICO VILLA APRICA SPA-COMO,36,ORTOPEDIA E TRAUMATOLOGIA,3.116855,1
2014,322 - ATS DELL'INSUBRIA,030364-00,FOND. GAETANO E PIERA BORGHI - BREBBIA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,31.342672,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030943-00,IST. CLIN. HUMANITAS - ROZZANO,08,CARDIOLOGIA,4.68833,0
2014,323 - ATS DELLA MONTAGNA,030904-00,OSPEDALE MORELLI - SONDALO,13,CHIRURGIA TORACICA,6.638554,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030066-00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,26,MEDICINA GENERALE,12.764052,0
2014,327 - ATS DELLA VAL PADANA,030907-00,OSPEDALE C. POMA - MANTOVA,49,TERAPIA INTENSIVA,8.344262,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,09,CHIRURGIA GENERALE,7.616145,1
2013,322 - ATS DELL'INSUBRIA,030003-00,OSPEDALE F. DEL PONTE - VARESE,73,TERAPIA INTENSIVA NEONATALE,20.428571,0
2015,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,49,TERAPIA INTENSIVA,10.50495,0
2015,325 - ATS DI BERGAMO,030145-00,CLINICA  CASTELLI - BERGAMO,26,MEDICINA GENERALE,10.900439,0
