ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,ATC_LIVELLO_1,DESCRIZIONE_ATC_LIVELLO_1,ATC_LIVELLO_2,DESCRIZIONE_ATC_LIVELLO_2,CONF_PER_ PRIMI_10_ATC_LIVELLO2
2014,325,ATS DI BERGAMO,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,9200
2015,30,REGIONE LOMBARDIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,21402049
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,8080833
2015,326,ATS DI BRESCIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,38834
2016,326,ATS DI BRESCIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,1479
2017,30,REGIONE LOMBARDIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,343514
2015,30,REGIONE LOMBARDIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,7551620
2015,326,ATS DI BRESCIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,2776
2016,326,ATS DI BRESCIA,D,DERMATOLOGICI,D11,ALTRI PREPARATI DERMATOLOGICI,289
2015,30,REGIONE LOMBARDIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,1286506
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,3353396
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,4600
2016,326,ATS DI BRESCIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,5808
2017,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",9659
2012,327,ATS DELLA VAL PADANA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,3195
2012,328,ATS DI PAVIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,162487
2015,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,263689
2015,326,ATS DI BRESCIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,31322
2017,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,67339
2017,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,1117900
2013,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",13654
2013,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,2227
2013,325,ATS DI BERGAMO,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,204791
2015,30,REGIONE LOMBARDIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",1931484
2016,326,ATS DI BRESCIA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,2728
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N01,ANESTETICI,45927
2014,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,213045
2012,325,ATS DI BERGAMO,V,VARI,V07,TUTTI GLI ALTRI PRODOTTI NON TERAPEUTICI,5
2014,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,97862
2014,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N01,ANESTETICI,29746
2015,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,845
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,3346224
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,422259
2014,30,REGIONE LOMBARDIA,N,SISTEMA NERVOSO,N02,ANALGESICI,3799754
2014,326,ATS DI BRESCIA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,1036773
2016,30,REGIONE LOMBARDIA,V,VARI,V01,ALLERGENI,1
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,50355
2017,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N01,ANESTETICI,9632
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,1396400
2016,322,ATS DELL'INSUBRIA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,37536
2015,30,REGIONE LOMBARDIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A05,TERAPIA BILIARE ED EPATICA,601838
2016,30,REGIONE LOMBARDIA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,319769
2017,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,2310105
2014,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,23409
2014,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,4674330
2015,30,REGIONE LOMBARDIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,63545
2015,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,10060
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,13703
2016,322,ATS DELL'INSUBRIA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,357444
2017,324,ATS DELLA BRIANZA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,783
2012,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,1591303
2012,324,ATS DELLA BRIANZA,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,644870
2014,328,ATS DI PAVIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,633
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A01,STOMATOLOGICI,69
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N05,PSICOLETTICI,575876
2016,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B06,ALTRI AGENTI EMATOLOGICI,380
2012,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,64925
2012,324,ATS DELLA BRIANZA,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,1213858
2014,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,587511
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,1344349
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,156260
2015,328,ATS DI PAVIA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,1271
2012,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,594604
2013,323,ATS DELLA MONTAGNA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,2243
2015,328,ATS DI PAVIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,683
2012,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,2726574
2012,324,ATS DELLA BRIANZA,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,976645
2014,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N01,ANESTETICI,3111
2015,328,ATS DI PAVIA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",2809
2015,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,216520
2016,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,496659
2012,326,ATS DI BRESCIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,507
2012,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,34889
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,150925
2015,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,6162
2012,30,REGIONE LOMBARDIA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,322897
2012,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,562348
2012,326,ATS DI BRESCIA,D,DERMATOLOGICI,D05,ANTIPSORIASICI,30561
2012,328,ATS DI PAVIA,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,4447
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",55725
2014,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,420355
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A16,ALTRI FARMACI DELL'APPARATO GASTROINTESTINALE E DEL METABOLI,514
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,495769
2015,328,ATS DI PAVIA,D,DERMATOLOGICI,D11,ALTRI PREPARATI DERMATOLOGICI,33
2015,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N01,ANESTETICI,3648
2017,325,ATS DI BERGAMO,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,9713
2012,30,REGIONE LOMBARDIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,3883835
2012,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,537231
2012,328,ATS DI PAVIA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,149977
2014,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,16429
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,1890894
2012,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,875080
2012,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,75735
2012,328,ATS DI PAVIA,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,57701
2013,323,ATS DELLA MONTAGNA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,20773
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A09,"DIGESTIVI, INCLUSI GLI ENZIMI",10089
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,51393
2013,324,ATS DELLA BRIANZA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,252765
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,8476
2015,324,ATS DELLA BRIANZA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,263283
2017,323,ATS DELLA MONTAGNA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,1632
2012,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,1248543
2012,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,919076
2014,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,126071
2014,328,ATS DI PAVIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,4270
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N01,ANESTETICI,35135
2012,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,63883
2012,30,REGIONE LOMBARDIA,V,VARI,V07,TUTTI GLI ALTRI PRODOTTI NON TERAPEUTICI,32
2012,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,243175
2014,328,ATS DI PAVIA,D,DERMATOLOGICI,D05,ANTIPSORIASICI,23220
2014,328,ATS DI PAVIA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,1242
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,12395
2012,324,ATS DELLA BRIANZA,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,201904
2013,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,11994
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,2111
2013,323,ATS DELLA MONTAGNA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,11137
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,10639
2015,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N02,ANALGESICI,200140
2015,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,377398
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,1316995
2016,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,5727
2012,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,812057
2012,324,ATS DELLA BRIANZA,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,520882
2013,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,4678
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A01,STOMATOLOGICI,5
2013,323,ATS DELLA MONTAGNA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,9131
2014,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,108470
2014,327,ATS DELLA VAL PADANA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,23936
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",149510
2017,323,ATS DELLA MONTAGNA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,12630
2012,326,ATS DI BRESCIA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",8856
2013,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,299506
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A09,"DIGESTIVI, INCLUSI GLI ENZIMI",2596
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A16,ALTRI FARMACI DELL'APPARATO GASTROINTESTINALE E DEL METABOLI,301
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A05,TERAPIA BILIARE ED EPATICA,78225
2016,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,123150
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,432523
2014,327,ATS DELLA VAL PADANA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,4019
2015,328,ATS DI PAVIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,4443
2015,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,70021
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N02,ANALGESICI,1027846
2012,328,ATS DI PAVIA,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,58678
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A05,TERAPIA BILIARE ED EPATICA,20798
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",230288
2013,324,ATS DELLA BRIANZA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,37123
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,148285
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,5786
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,843413
2012,324,ATS DELLA BRIANZA,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,952142
2012,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,1158579
2012,326,ATS DI BRESCIA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,2321
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,68560
2014,328,ATS DI PAVIA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",3463
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,3368183
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A03,FARMACI PER I DISTURBI FUNZIONALI GASTROINTESTINALI,3902
2015,328,ATS DI PAVIA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,84681
2017,327,ATS DELLA VAL PADANA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,19991
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,221580
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,25011
2014,324,ATS DELLA BRIANZA,N,SISTEMA NERVOSO,N02,ANALGESICI,393535
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,797273
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A16,ALTRI FARMACI DELL'APPARATO GASTROINTESTINALE E DEL METABOLI,258
2012,324,ATS DELLA BRIANZA,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,3081190
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,682806
2013,323,ATS DELLA MONTAGNA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,2386
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,80901
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A05,TERAPIA BILIARE ED EPATICA,65620
2012,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,8964
2013,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,351449
2013,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,802
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A01,STOMATOLOGICI,113
2015,324,ATS DELLA BRIANZA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,39024
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,5559
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,412079
2017,325,ATS DI BERGAMO,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,43853
2012,326,ATS DI BRESCIA,C,SISTEMA CARDIOVASCOLARE,C09,SOSTANZE AD AZIONE SUL SISTEMA RENINA-ANGIOTENSINA,2785101
2012,327,ATS DELLA VAL PADANA,V,VARI,V03,TUTTI GLI ALTRI PRODOTTI TERAPEUTICI,17543
2014,325,ATS DI BERGAMO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,2293480
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A12,INTEGRATORI MINERALI,50380
2016,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,38345
2012,326,ATS DI BRESCIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,6910
2015,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A09,"DIGESTIVI, INCLUSI GLI ENZIMI",11173
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,221049
2012,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,7186
2012,324,ATS DELLA BRIANZA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,34164
2013,324,ATS DELLA BRIANZA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,1701
2013,326,ATS DI BRESCIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,265774
2014,323,ATS DELLA MONTAGNA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",2521
2014,323,ATS DELLA MONTAGNA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,599
2015,30,REGIONE LOMBARDIA,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,10263879
2015,323,ATS DELLA MONTAGNA,C,SISTEMA CARDIOVASCOLARE,C03,DIURETICI,168019
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,106615
2016,328,ATS DI PAVIA,V,VARI,V04,DIAGNOSTICI,15
2012,30,REGIONE LOMBARDIA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,500824
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,5856902
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",662582
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,3817370
2012,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A09,"DIGESTIVI, INCLUSI GLI ENZIMI",8410
2012,324,ATS DELLA BRIANZA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A10,FARMACI USATI NEL DIABETE,916855
2012,324,ATS DELLA BRIANZA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,245138
