ANNO,ATS STRUTTURA,CODICE DISCIPLINA,DESCRIZIONE DISCIPLINA,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2013,323 - ATS DELLA MONTAGNA,38,OTORINOLARINGOIATRIA,3.559262,1
2013,325 - ATS DI BERGAMO,34,OCULISTICA,1.366499,1
2013,325 - ATS DI BERGAMO,40,PSICHIATRIA,16.233122,10.858896
2013,326 - ATS DI BRESCIA,60,LUNGODEGENTI,23.809713,0
2013,REGIONE LOMBARDIA,61,MEDICINA NUCLEARE,4.257844,1
2014,323 - ATS DELLA MONTAGNA,31,NIDO,3.530864,0
2014,324 - ATS DELLA BRIANZA,18,EMATOLOGIA,16.834601,8.615385
2014,326 - ATS DI BRESCIA,60,LUNGODEGENTI,23.433681,0
2014,327 - ATS DELLA VAL PADANA,73,TERAPIA INTENSIVA NEONATALE,31.214286,0
2014,328 - ATS DI PAVIA,30,NEUROCHIRURGIA,7.784501,0
2014,328 - ATS DI PAVIA,75,NEURO-RIABILITAZIONE,49.601695,0
2014,REGIONE LOMBARDIA,20,IMMUNOLOGIA,0,4.869565
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,33,NEUROPSICHIATRIA INFANTILE,6.154147,6.384615
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,61,MEDICINA NUCLEARE,3.677909,0
2015,323 - ATS DELLA MONTAGNA,08,CARDIOLOGIA,6.329311,1
2015,323 - ATS DELLA MONTAGNA,26,MEDICINA GENERALE,10.489996,3.41791
2015,323 - ATS DELLA MONTAGNA,31,NIDO,3.309524,0
2015,325 - ATS DI BERGAMO,32,NEUROLOGIA,8.250173,0
2015,325 - ATS DI BERGAMO,40,PSICHIATRIA,16.065426,8.651163
2015,326 - ATS DI BRESCIA,20,IMMUNOLOGIA,0,5.791667
2015,327 - ATS DELLA VAL PADANA,30,NEUROCHIRURGIA,7.538614,1
2015,328 - ATS DI PAVIA,11,CHIRURGIA PEDIATRICA,2.304918,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,47,GRANDI USTIONATI,17.116022,0
2016,323 - ATS DELLA MONTAGNA,30,NEUROCHIRURGIA,6.99221,1
2016,325 - ATS DI BERGAMO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,24.044263,24.104712
2017,322 - ATS DELL'INSUBRIA,21,GERIATRIA,11.875356,0
2017,323 - ATS DELLA MONTAGNA,32,NEUROLOGIA,8.79625,0
2017,324 - ATS DELLA BRIANZA,60,LUNGODEGENTI,20.75,0
2017,327 - ATS DELLA VAL PADANA,29,NEFROLOGIA,9.295433,0
2017,327 - ATS DELLA VAL PADANA,73,TERAPIA INTENSIVA NEONATALE,14.037037,0
2017,328 - ATS DI PAVIA,50,UNITA' CORONARICA,6.062147,0
2017,328 - ATS DI PAVIA,62,NEONATOLOGIA,21.706633,0
2012,322 - ATS DELL'INSUBRIA,35,ODONTOIATRIA E STOMATOLOGIA,0,1
2012,323 - ATS DELLA MONTAGNA,28,UNITA' SPINALE,33.005747,0
2012,323 - ATS DELLA MONTAGNA,31,NIDO,3.463235,0
2012,324 - ATS DELLA BRIANZA,31,NIDO,4.052953,0
2012,324 - ATS DELLA BRIANZA,73,TERAPIA INTENSIVA NEONATALE,13.143791,0
2012,324 - ATS DELLA BRIANZA,75,NEURO-RIABILITAZIONE,15.375,6.284512
2012,326 - ATS DI BRESCIA,75,NEURO-RIABILITAZIONE,35.824762,0
2012,327 - ATS DELLA VAL PADANA,50,UNITA' CORONARICA,6.447368,0
2012,328 - ATS DI PAVIA,07,CARDIOCHIRURGIA,11.766013,1
2012,REGIONE LOMBARDIA,20,IMMUNOLOGIA,0,6.913043
2012,REGIONE LOMBARDIA,25,MEDICINA DEL LAVORO,5.779661,1.718654
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,50,UNITA' CORONARICA,5.472748,0
2013,322 - ATS DELL'INSUBRIA,61,MEDICINA NUCLEARE,3.969432,0
2013,323 - ATS DELLA MONTAGNA,34,OCULISTICA,3.266667,1
2013,328 - ATS DI PAVIA,02,DAY HOSPITAL,0,1
2013,328 - ATS DI PAVIA,75,NEURO-RIABILITAZIONE,46.257813,0
2013,REGIONE LOMBARDIA,54,EMODIALISI,9.92,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,47,GRANDI USTIONATI,21.861111,0
2014,322 - ATS DELL'INSUBRIA,61,MEDICINA NUCLEARE,3.938326,0
2014,327 - ATS DELLA VAL PADANA,02,DAY HOSPITAL,0,1
2014,327 - ATS DELLA VAL PADANA,24,MALATTIE INFETTIVE E TROPICALI,11.871648,1
2014,327 - ATS DELLA VAL PADANA,32,NEUROLOGIA,9.75259,0
2014,327 - ATS DELLA VAL PADANA,RM,RIABILITAZIONE DI MANTENIMENTO,21.420561,0
2014,328 - ATS DI PAVIA,65,ONCOEMATOLOGIA PEDIATRICA,18.011173,4.568475
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,50,UNITA' CORONARICA,5.629131,0
2015,324 - ATS DELLA BRIANZA,50,UNITA' CORONARICA,5.894309,0
2015,324 - ATS DELLA BRIANZA,58,GASTROENTEROLOGIA,10.349112,0
2015,325 - ATS DI BERGAMO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,25.229209,22.75
2015,326 - ATS DI BRESCIA,40,PSICHIATRIA,14.654211,5.082192
2015,328 - ATS DI PAVIA,67,PENSIONANTI,2.454874,0
2015,328 - ATS DI PAVIA,73,TERAPIA INTENSIVA NEONATALE,14.444444,0
2015,REGIONE LOMBARDIA,20,IMMUNOLOGIA,0,5.791667
2015,REGIONE LOMBARDIA,28,UNITA' SPINALE,58.719626,0
2016,322 - ATS DELL'INSUBRIA,18,EMATOLOGIA,16.631579,1
2016,324 - ATS DELLA BRIANZA,31,NIDO,3.680578,0
2016,325 - ATS DI BERGAMO,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",0,1.374046
2016,325 - ATS DI BERGAMO,31,NIDO,4.507788,0
2016,326 - ATS DI BRESCIA,29,NEFROLOGIA,7.716078,0
2016,REGIONE LOMBARDIA,20,IMMUNOLOGIA,0,5.555556
2016,REGIONE LOMBARDIA,65,ONCOEMATOLOGIA PEDIATRICA,16.485714,4.141791
2016,REGIONE LOMBARDIA,69,RADIOLOGIA,0,1
2016,REGIONE LOMBARDIA,RM,RIABILITAZIONE DI MANTENIMENTO,21.905405,0
2017,322 - ATS DELL'INSUBRIA,34,OCULISTICA,3.224401,1
2017,323 - ATS DELLA MONTAGNA,31,NIDO,3.675,0
2017,323 - ATS DELLA MONTAGNA,34,OCULISTICA,2.127907,1
2017,323 - ATS DELLA MONTAGNA,49,TERAPIA INTENSIVA,11.75772,0
2017,326 - ATS DI BRESCIA,29,NEFROLOGIA,9.127733,1.5
2017,326 - ATS DI BRESCIA,33,NEUROPSICHIATRIA INFANTILE,12.430524,0
2017,328 - ATS DI PAVIA,35,ODONTOIATRIA E STOMATOLOGIA,0,1
2017,REGIONE LOMBARDIA,69,RADIOLOGIA,0,1
2012,324 - ATS DELLA BRIANZA,64,ONCOLOGIA,10.107264,5.061842
2012,325 - ATS DI BERGAMO,52,DERMATOLOGIA,9.845815,1
2012,325 - ATS DI BERGAMO,60,LUNGODEGENTI,31.65472,0
2012,327 - ATS DELLA VAL PADANA,07,CARDIOCHIRURGIA,11.621457,0
2012,328 - ATS DI PAVIA,32,NEUROLOGIA,8.387698,2.243243
2012,328 - ATS DI PAVIA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,27.189979,34.243478
2013,322 - ATS DELL'INSUBRIA,14,CHIRURGIA VASCOLARE,5.901677,1
2013,322 - ATS DELL'INSUBRIA,73,TERAPIA INTENSIVA NEONATALE,18.769231,0
2013,324 - ATS DELLA BRIANZA,24,MALATTIE INFETTIVE E TROPICALI,15.572283,0
2013,325 - ATS DI BERGAMO,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",0,1.402985
2013,325 - ATS DI BERGAMO,30,NEUROCHIRURGIA,10.022191,1
2013,326 - ATS DI BRESCIA,RM,RIABILITAZIONE DI MANTENIMENTO,16.820513,0
2013,327 - ATS DELLA VAL PADANA,18,EMATOLOGIA,12.09434,3.166667
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,33,NEUROPSICHIATRIA INFANTILE,7.025348,5.690391
2014,322 - ATS DELL'INSUBRIA,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",8.577657,1.572491
2014,323 - ATS DELLA MONTAGNA,60,LUNGODEGENTI,25.139241,0
2014,324 - ATS DELLA BRIANZA,07,CARDIOCHIRURGIA,13.492294,0
2014,324 - ATS DELLA BRIANZA,73,TERAPIA INTENSIVA NEONATALE,11.666667,0
2014,327 - ATS DELLA VAL PADANA,30,NEUROCHIRURGIA,7.261242,1
2014,327 - ATS DELLA VAL PADANA,33,NEUROPSICHIATRIA INFANTILE,0,1
2014,328 - ATS DI PAVIA,40,PSICHIATRIA,14.831255,5.041667
2014,328 - ATS DI PAVIA,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),12.974886,0
2014,REGIONE LOMBARDIA,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",9.23893,7.158871
2014,REGIONE LOMBARDIA,54,EMODIALISI,10.6,0
2014,REGIONE LOMBARDIA,69,RADIOLOGIA,0,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,25,MEDICINA DEL LAVORO,3.517647,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,49,TERAPIA INTENSIVA,13.73493,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,62,NEONATOLOGIA,10.925282,1
2015,323 - ATS DELLA MONTAGNA,50,UNITA' CORONARICA,4.729412,0
2015,325 - ATS DI BERGAMO,14,CHIRURGIA VASCOLARE,5.187377,1
2015,325 - ATS DI BERGAMO,49,TERAPIA INTENSIVA,17.375171,1.770833
2015,325 - ATS DI BERGAMO,52,DERMATOLOGIA,10.68,1
2015,325 - ATS DI BERGAMO,60,LUNGODEGENTI,29.022928,0
2015,326 - ATS DI BRESCIA,50,UNITA' CORONARICA,4.930622,0
2015,REGIONE LOMBARDIA,54,EMODIALISI,8.492228,0
2016,322 - ATS DELL'INSUBRIA,14,CHIRURGIA VASCOLARE,5.824298,1
2016,326 - ATS DI BRESCIA,24,MALATTIE INFETTIVE E TROPICALI,13.299304,0
2016,326 - ATS DI BRESCIA,73,TERAPIA INTENSIVA NEONATALE,15.769231,0
2016,327 - ATS DELLA VAL PADANA,33,NEUROPSICHIATRIA INFANTILE,0,1
2016,327 - ATS DELLA VAL PADANA,54,EMODIALISI,8.971698,0
2016,327 - ATS DELLA VAL PADANA,64,ONCOLOGIA,8.818092,10.5
2016,328 - ATS DI PAVIA,18,EMATOLOGIA,12.818942,4.683673
2016,328 - ATS DI PAVIA,39,PEDIATRIA,3.92906,0
2016,REGIONE LOMBARDIA,47,GRANDI USTIONATI,17.116022,0
2016,REGIONE LOMBARDIA,51,ASTANTERIA,1.985893,0
2016,REGIONE LOMBARDIA,54,EMODIALISI,8.971698,0
2017,323 - ATS DELLA MONTAGNA,50,UNITA' CORONARICA,3.741379,0
2017,326 - ATS DI BRESCIA,61,MEDICINA NUCLEARE,4.094907,0
2012,322 - ATS DELL'INSUBRIA,60,LUNGODEGENTI,35.947977,0
2012,324 - ATS DELLA BRIANZA,60,LUNGODEGENTI,45.628571,0
2012,325 - ATS DI BERGAMO,50,UNITA' CORONARICA,6.792079,0
2012,326 - ATS DI BRESCIA,34,OCULISTICA,2.412093,1
2012,326 - ATS DI BRESCIA,61,MEDICINA NUCLEARE,5.297189,0
2012,REGIONE LOMBARDIA,31,NIDO,4.126885,0
2013,322 - ATS DELL'INSUBRIA,33,NEUROPSICHIATRIA INFANTILE,0,1.469811
2013,322 - ATS DELL'INSUBRIA,64,ONCOLOGIA,11.492378,2.640288
2013,323 - ATS DELLA MONTAGNA,64,ONCOLOGIA,11.986577,1
2013,325 - ATS DI BERGAMO,62,NEONATOLOGIA,19.230058,1.052632
2013,REGIONE LOMBARDIA,47,GRANDI USTIONATI,19.314815,0
2013,REGIONE LOMBARDIA,RM,RIABILITAZIONE DI MANTENIMENTO,24.888372,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,21,GERIATRIA,16.058961,2.020161
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,40,PSICHIATRIA,11.88115,6.980237
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,61,MEDICINA NUCLEARE,3.543403,0
2014,322 - ATS DELL'INSUBRIA,12,CHIRURGIA PLASTICA,3.294537,1
2014,322 - ATS DELL'INSUBRIA,64,ONCOLOGIA,11.935955,3.292398
2014,322 - ATS DELL'INSUBRIA,70,RADIOTERAPIA,2.955882,0
2014,325 - ATS DI BERGAMO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,24.973008,25.746988
2014,327 - ATS DELLA VAL PADANA,07,CARDIOCHIRURGIA,10.759443,0
2014,327 - ATS DELLA VAL PADANA,52,DERMATOLOGIA,0,10.589744
2014,328 - ATS DI PAVIA,18,EMATOLOGIA,11.184169,3.884615
2014,328 - ATS DI PAVIA,24,MALATTIE INFETTIVE E TROPICALI,13.822688,0
2014,328 - ATS DI PAVIA,31,NIDO,5.178161,0
2014,328 - ATS DI PAVIA,50,UNITA' CORONARICA,4.42623,0
2014,REGIONE LOMBARDIA,25,MEDICINA DEL LAVORO,5.313659,1.261905
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,66,ONCOEMATOLOGIA,7.585956,0
2015,322 - ATS DELL'INSUBRIA,24,MALATTIE INFETTIVE E TROPICALI,17.527239,0
2015,323 - ATS DELLA MONTAGNA,60,LUNGODEGENTI,25.767352,0
2015,324 - ATS DELLA BRIANZA,49,TERAPIA INTENSIVA,12.634053,1.166667
2015,326 - ATS DI BRESCIA,31,NIDO,6.186557,0
2015,326 - ATS DI BRESCIA,60,LUNGODEGENTI,23.480614,0
2015,326 - ATS DI BRESCIA,75,NEURO-RIABILITAZIONE,40.951178,0
2015,328 - ATS DI PAVIA,14,CHIRURGIA VASCOLARE,7.086171,0
2015,328 - ATS DI PAVIA,60,LUNGODEGENTI,38.335859,0
2015,REGIONE LOMBARDIA,51,ASTANTERIA,2.296729,0
2015,REGIONE LOMBARDIA,73,TERAPIA INTENSIVA NEONATALE,18.92,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,71,REUMATOLOGIA,8.387147,5.560137
2016,322 - ATS DELL'INSUBRIA,10,CHIRURGIA MAXILLO-FACCIALE,7.300242,0
2016,323 - ATS DELLA MONTAGNA,21,GERIATRIA,12.011086,0
2016,324 - ATS DELLA BRIANZA,52,DERMATOLOGIA,5.60733,1
2016,328 - ATS DI PAVIA,38,OTORINOLARINGOIATRIA,4.005155,1
2016,328 - ATS DI PAVIA,71,REUMATOLOGIA,13.72242,1
2016,328 - ATS DI PAVIA,73,TERAPIA INTENSIVA NEONATALE,16.076923,0
2017,323 - ATS DELLA MONTAGNA,60,LUNGODEGENTI,23.708783,0
2017,324 - ATS DELLA BRIANZA,69,RADIOLOGIA,0,1
2017,325 - ATS DI BERGAMO,31,NIDO,4.497436,0
2017,326 - ATS DI BRESCIA,21,GERIATRIA,6.360751,0
2017,327 - ATS DELLA VAL PADANA,02,DAY HOSPITAL,0,1
2017,327 - ATS DELLA VAL PADANA,31,NIDO,3.568738,0
2017,328 - ATS DI PAVIA,30,NEUROCHIRURGIA,7.997768,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,21,GERIATRIA,15.409386,1.717842
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,51,ASTANTERIA,3.652731,0
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,62,NEONATOLOGIA,9.316073,1.052402
2012,323 - ATS DELLA MONTAGNA,18,EMATOLOGIA,4.862069,1
2012,325 - ATS DI BERGAMO,29,NEFROLOGIA,7.712919,0
2012,326 - ATS DI BRESCIA,62,NEONATOLOGIA,13.25957,0
2012,328 - ATS DI PAVIA,67,PENSIONANTI,2.725948,0
2013,323 - ATS DELLA MONTAGNA,49,TERAPIA INTENSIVA,12.393939,0
2013,324 - ATS DELLA BRIANZA,75,NEURO-RIABILITAZIONE,17.879014,1.732813
2013,325 - ATS DI BERGAMO,49,TERAPIA INTENSIVA,17.016883,1.595238
2013,326 - ATS DI BRESCIA,07,CARDIOCHIRURGIA,11.770462,0
2013,326 - ATS DI BRESCIA,34,OCULISTICA,2.514692,1
2013,326 - ATS DI BRESCIA,75,NEURO-RIABILITAZIONE,36.737354,0
2013,328 - ATS DI PAVIA,11,CHIRURGIA PEDIATRICA,2.103989,1
2013,328 - ATS DI PAVIA,50,UNITA' CORONARICA,5.1875,0
2013,328 - ATS DI PAVIA,56,RECUPERO E RIABILITAZIONE FUNZIONALE,27.125758,21.171429
2014,324 - ATS DELLA BRIANZA,24,MALATTIE INFETTIVE E TROPICALI,15.353122,0
2014,324 - ATS DELLA BRIANZA,35,ODONTOIATRIA E STOMATOLOGIA,0,1
2014,326 - ATS DI BRESCIA,30,NEUROCHIRURGIA,9.129091,1
2014,326 - ATS DI BRESCIA,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),11.911708,1.522124
2014,326 - ATS DI BRESCIA,98,DAY SURGERY,0,1
2014,327 - ATS DELLA VAL PADANA,13,CHIRURGIA TORACICA,8.931034,0
2014,327 - ATS DELLA VAL PADANA,31,NIDO,3.600739,0
2014,328 - ATS DI PAVIA,08,CARDIOLOGIA,5.93452,1
2014,328 - ATS DI PAVIA,25,MEDICINA DEL LAVORO,4.271739,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,19,"MALATTIE ENDOCRINE,DEL RICAMBIO E DELLA NUTRIZIONE",9.484615,0
2015,323 - ATS DELLA MONTAGNA,28,UNITA' SPINALE,40.165563,0
2015,323 - ATS DELLA MONTAGNA,36,ORTOPEDIA E TRAUMATOLOGIA,5.54329,1
2015,323 - ATS DELLA MONTAGNA,38,OTORINOLARINGOIATRIA,3.604692,1
2015,323 - ATS DELLA MONTAGNA,40,PSICHIATRIA,10.414456,0
2015,324 - ATS DELLA BRIANZA,12,CHIRURGIA PLASTICA,2.184993,1
2015,324 - ATS DELLA BRIANZA,33,NEUROPSICHIATRIA INFANTILE,13.59058,6.939577
2015,327 - ATS DELLA VAL PADANA,73,TERAPIA INTENSIVA NEONATALE,16.56,0
2015,327 - ATS DELLA VAL PADANA,98,DAY SURGERY,0,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,40,PSICHIATRIA,12.273044,7.139687
2016,324 - ATS DELLA BRIANZA,62,NEONATOLOGIA,10.123279,1
2016,325 - ATS DI BERGAMO,61,MEDICINA NUCLEARE,3.692913,0
2016,327 - ATS DELLA VAL PADANA,60,LUNGODEGENTI,30.706449,0
2016,327 - ATS DELLA VAL PADANA,RM,RIABILITAZIONE DI MANTENIMENTO,19.68915,0
2016,328 - ATS DI PAVIA,24,MALATTIE INFETTIVE E TROPICALI,14.77115,0
2016,328 - ATS DI PAVIA,75,NEURO-RIABILITAZIONE,49.084337,0
2016,REGIONE LOMBARDIA,73,TERAPIA INTENSIVA NEONATALE,18.675768,0
2017,325 - ATS DI BERGAMO,11,CHIRURGIA PEDIATRICA,5.35386,0
2017,325 - ATS DI BERGAMO,29,NEFROLOGIA,8.506826,1
2017,328 - ATS DI PAVIA,39,PEDIATRIA,4.23943,1
2012,322 - ATS DELL'INSUBRIA,70,RADIOTERAPIA,2.883721,0
2012,324 - ATS DELLA BRIANZA,RM,RIABILITAZIONE DI MANTENIMENTO,16.106667,0
2012,325 - ATS DI BERGAMO,10,CHIRURGIA MAXILLO-FACCIALE,2.461538,1
2012,325 - ATS DI BERGAMO,62,NEONATOLOGIA,22.245365,1.090909
2012,326 - ATS DI BRESCIA,40,PSICHIATRIA,14.481225,4.528571
2012,327 - ATS DELLA VAL PADANA,73,TERAPIA INTENSIVA NEONATALE,10.973684,0
2012,328 - ATS DI PAVIA,18,EMATOLOGIA,11.959302,2.673352
2012,328 - ATS DI PAVIA,40,PSICHIATRIA,14.890233,4.45977
2013,322 - ATS DELL'INSUBRIA,12,CHIRURGIA PLASTICA,3.750311,1
2013,322 - ATS DELL'INSUBRIA,32,NEUROLOGIA,9.834364,2.314286
2013,322 - ATS DELL'INSUBRIA,60,LUNGODEGENTI,39.035789,0
2013,325 - ATS DI BERGAMO,33,NEUROPSICHIATRIA INFANTILE,0,1.094737
2013,325 - ATS DI BERGAMO,RM,RIABILITAZIONE DI MANTENIMENTO,38.2,0
2013,326 - ATS DI BRESCIA,73,TERAPIA INTENSIVA NEONATALE,16.516517,0
2013,326 - ATS DI BRESCIA,98,DAY SURGERY,0,1
2013,327 - ATS DELLA VAL PADANA,32,NEUROLOGIA,9.432463,4.4
2013,328 - ATS DI PAVIA,07,CARDIOCHIRURGIA,12.943292,1
2013,328 - ATS DI PAVIA,25,MEDICINA DEL LAVORO,4.611321,0
2013,328 - ATS DI PAVIA,32,NEUROLOGIA,8.348788,1.611111
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,49,TERAPIA INTENSIVA,13.300234,1
2014,322 - ATS DELL'INSUBRIA,51,ASTANTERIA,6.744586,0
2014,323 - ATS DELLA MONTAGNA,13,CHIRURGIA TORACICA,6.638554,1
2014,323 - ATS DELLA MONTAGNA,50,UNITA' CORONARICA,3.328125,0
2014,324 - ATS DELLA BRIANZA,31,NIDO,4.098,0
2014,325 - ATS DI BERGAMO,28,UNITA' SPINALE,57.90625,0
2014,326 - ATS DI BRESCIA,75,NEURO-RIABILITAZIONE,36.268336,0
2014,327 - ATS DELLA VAL PADANA,49,TERAPIA INTENSIVA,9.339321,1
2014,REGIONE LOMBARDIA,28,UNITA' SPINALE,55.351039,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,28,UNITA' SPINALE,69.275362,0
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,RM,RIABILITAZIONE DI MANTENIMENTO,26.5,0
2015,323 - ATS DELLA MONTAGNA,14,CHIRURGIA VASCOLARE,7.774648,1
2015,323 - ATS DELLA MONTAGNA,21,GERIATRIA,11.632107,0
2015,324 - ATS DELLA BRIANZA,31,NIDO,3.99044,0
2015,326 - ATS DI BRESCIA,61,MEDICINA NUCLEARE,5.113082,0
2015,326 - ATS DI BRESCIA,62,NEONATOLOGIA,13.796646,0
2015,327 - ATS DELLA VAL PADANA,60,LUNGODEGENTI,29.866766,0
2015,328 - ATS DI PAVIA,39,PEDIATRIA,4.015573,0
2016,322 - ATS DELL'INSUBRIA,33,NEUROPSICHIATRIA INFANTILE,0,1.527919
2016,322 - ATS DELL'INSUBRIA,49,TERAPIA INTENSIVA,11.5,1
2016,322 - ATS DELL'INSUBRIA,50,UNITA' CORONARICA,5.33121,0
2016,323 - ATS DELLA MONTAGNA,68,PNEUMOLOGIA,12.949206,1
2016,324 - ATS DELLA BRIANZA,73,TERAPIA INTENSIVA NEONATALE,12.35,0
2016,327 - ATS DELLA VAL PADANA,02,DAY HOSPITAL,0,1
2016,327 - ATS DELLA VAL PADANA,13,CHIRURGIA TORACICA,9.746224,0
2016,327 - ATS DELLA VAL PADANA,62,NEONATOLOGIA,11.931343,1
2016,328 - ATS DI PAVIA,13,CHIRURGIA TORACICA,7.410112,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,60,LUNGODEGENTI,30.4575,0
2017,322 - ATS DELL'INSUBRIA,35,ODONTOIATRIA E STOMATOLOGIA,0,1
2017,322 - ATS DELL'INSUBRIA,51,ASTANTERIA,1.451724,0
2017,326 - ATS DI BRESCIA,52,DERMATOLOGIA,10.851986,1
2017,326 - ATS DI BRESCIA,98,DAY SURGERY,0,1
2017,327 - ATS DELLA VAL PADANA,24,MALATTIE INFETTIVE E TROPICALI,12.728848,0
2017,327 - ATS DELLA VAL PADANA,51,ASTANTERIA,6.279503,0
2017,328 - ATS DI PAVIA,33,NEUROPSICHIATRIA INFANTILE,5.28125,1.527778
2017,REGIONE LOMBARDIA,20,IMMUNOLOGIA,0,5.769231
2012,322 - ATS DELL'INSUBRIA,25,MEDICINA DEL LAVORO,7.839744,0
2012,322 - ATS DELL'INSUBRIA,61,MEDICINA NUCLEARE,3.972868,0
2012,323 - ATS DELLA MONTAGNA,75,NEURO-RIABILITAZIONE,43.595238,0
2012,324 - ATS DELLA BRIANZA,35,ODONTOIATRIA E STOMATOLOGIA,0,1
2012,326 - ATS DI BRESCIA,21,GERIATRIA,7.348907,0
2012,328 - ATS DI PAVIA,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),12.061441,0
2012,328 - ATS DI PAVIA,50,UNITA' CORONARICA,5.92,0
2012,REGIONE LOMBARDIA,66,ONCOEMATOLOGIA,10.086842,0
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,73,TERAPIA INTENSIVA NEONATALE,17.559006,0
2013,324 - ATS DELLA BRIANZA,69,RADIOLOGIA,0,1
2013,325 - ATS DI BERGAMO,13,CHIRURGIA TORACICA,7.032164,1
2013,325 - ATS DI BERGAMO,50,UNITA' CORONARICA,7.254499,0
2013,327 - ATS DELLA VAL PADANA,62,NEONATOLOGIA,12.205357,1.015748
2013,327 - ATS DELLA VAL PADANA,64,ONCOLOGIA,8.926637,3.733333
2013,327 - ATS DELLA VAL PADANA,98,DAY SURGERY,0,1
2013,328 - ATS DI PAVIA,39,PEDIATRIA,4.16378,0
2013,REGIONE LOMBARDIA,50,UNITA' CORONARICA,5.518701,0
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,56,RECUPERO E RIABILITAZIONE FUNZIONALE,22.875786,29.245455
2014,324 - ATS DELLA BRIANZA,49,TERAPIA INTENSIVA,12.9,2
2014,325 - ATS DI BERGAMO,10,CHIRURGIA MAXILLO-FACCIALE,2.789634,0
2014,325 - ATS DI BERGAMO,40,PSICHIATRIA,16.131521,8.988636
2014,328 - ATS DI PAVIA,13,CHIRURGIA TORACICA,8.066176,0
2014,328 - ATS DI PAVIA,49,TERAPIA INTENSIVA,16.071895,0
2014,328 - ATS DI PAVIA,62,NEONATOLOGIA,19.905013,0
2015,322 - ATS DELL'INSUBRIA,49,TERAPIA INTENSIVA,10.905433,1
2015,325 - ATS DI BERGAMO,48,NEFROLOGIA (ABILITAZIONE TRAPIANTO RENE),9.38825,1
2015,325 - ATS DI BERGAMO,68,PNEUMOLOGIA,15.35119,0
2015,327 - ATS DELLA VAL PADANA,24,MALATTIE INFETTIVE E TROPICALI,11.037898,0
2015,327 - ATS DELLA VAL PADANA,50,UNITA' CORONARICA,6.050388,0
2015,328 - ATS DI PAVIA,65,ONCOEMATOLOGIA PEDIATRICA,16.573727,4.667702
2015,REGIONE LOMBARDIA,47,GRANDI USTIONATI,19.760234,0
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,21,GERIATRIA,18.784016,1.982759
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,50,UNITA' CORONARICA,5.485714,0
2016,324 - ATS DELLA BRIANZA,25,MEDICINA DEL LAVORO,0,1.461538
2016,324 - ATS DELLA BRIANZA,35,ODONTOIATRIA E STOMATOLOGIA,0,1
2016,324 - ATS DELLA BRIANZA,69,RADIOLOGIA,0,1
2016,325 - ATS DI BERGAMO,40,PSICHIATRIA,16.249141,10.175676
2016,327 - ATS DELLA VAL PADANA,29,NEFROLOGIA,9.962227,0
2016,327 - ATS DELLA VAL PADANA,31,NIDO,3.668593,0
