ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,ATC LIVELLO 1,DESCRIZIONE ATC LIVELLO 1,GENERE,FASCIA_ETA',CONF,Nuova colonna georeferenziata
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,80 e +,44218,"(45.44410928, 9.198811423)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,0-17,3333,"(45.68701679, 9.63853045)"
2016,30,REGIONE LOMBARDIA,,,M,SISTEMA MUSCOLO-SCHELETRICO,-,80 e +,20993,
2017,30,REGIONE LOMBARDIA,,,C,SISTEMA CARDIOVASCOLARE,F,40-64,6705281,
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,N,SISTEMA NERVOSO,F,80 e +,285291,"(45.68701679, 9.63853045)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,D,DERMATOLOGICI,M,80 e +,2043,"(45.65171815, 10.25368782)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,M,SISTEMA MUSCOLO-SCHELETRICO,M,18-39,3271,"(46.33431031, 10.32968894)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,S,ORGANI DI SENSO,F,18-39,5241,"(45.44410928, 9.198811423)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,S,ORGANI DI SENSO,M,65-79,32637,"(45.20086141, 9.14034225)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,V,VARI,M,65-79,9608,"(45.68701679, 9.63853045)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,65-79,1815,"(45.1439181, 10.02604335)"
2013,30,REGIONE LOMBARDIA,,,N,SISTEMA NERVOSO,F,80 e +,2080768,
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,M,SISTEMA MUSCOLO-SCHELETRICO,M,0-17,1435,"(45.44410928, 9.198811423)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,D,DERMATOLOGICI,M,40-64,4085,"(46.33431031, 10.32968894)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,18-39,3258,"(45.1439181, 10.02604335)"
2017,30,REGIONE LOMBARDIA,,,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",-,80 e +,2235,
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,40-64,563934,"(45.65171815, 10.25368782)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,J,ANTINFETTIVI PER USO SISTEMICO,M,40-64,171578,"(45.69919245, 9.298423314)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,R,SISTEMA RESPIRATORIO,M,65-79,97429,"(45.69919245, 9.298423314)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,B,SANGUE E ORGANI EMOPOIETICI,F,18-39,9612,"(46.33431031, 10.32968894)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,M,65-79,61803,"(45.1439181, 10.02604335)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,B,SANGUE E ORGANI EMOPOIETICI,F,18-39,50461,"(45.80802245, 8.837196022)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,N,SISTEMA NERVOSO,-,80 e +,4041,"(45.1439181, 10.02604335)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,-,80 e +,946,"(45.1439181, 10.02604335)"
2013,30,REGIONE LOMBARDIA,,,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,23936,
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,1236,"(45.1439181, 10.02604335)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,0-17,279,"(45.20086141, 9.14034225)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,N,SISTEMA NERVOSO,F,80 e +,616490,"(45.44410928, 9.198811423)"
2017,30,REGIONE LOMBARDIA,,,J,ANTINFETTIVI PER USO SISTEMICO,M,40-64,1439576,
2016,30,REGIONE LOMBARDIA,,,D,DERMATOLOGICI,F,18-39,28417,
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",-,80 e +,762,"(45.44410928, 9.198811423)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,V,VARI,F,0-17,27,"(45.20086141, 9.14034225)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,0-17,860,"(45.80802245, 8.837196022)"
2016,30,REGIONE LOMBARDIA,,,N,SISTEMA NERVOSO,F,40-64,3344392,
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,M,18-39,9832,"(45.1439181, 10.02604335)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,18-39,1714,"(45.69919245, 9.298423314)"
2017,30,REGIONE LOMBARDIA,,,V,VARI,F,80 e +,58944,
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,18-39,4142,"(45.65171815, 10.25368782)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,M,SISTEMA MUSCOLO-SCHELETRICO,M,0-17,229,"(45.20086141, 9.14034225)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,D,DERMATOLOGICI,M,18-39,7157,"(45.80802245, 8.837196022)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,0-17,1560,"(45.80802245, 8.837196022)"
2016,30,REGIONE LOMBARDIA,,,N,SISTEMA NERVOSO,M,80 e +,1005384,
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,M,SISTEMA MUSCOLO-SCHELETRICO,F,80 e +,27910,"(46.33431031, 10.32968894)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,40-64,34748,"(45.20086141, 9.14034225)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,B,SANGUE E ORGANI EMOPOIETICI,M,65-79,397540,"(45.69919245, 9.298423314)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,J,ANTINFETTIVI PER USO SISTEMICO,M,80 e +,68975,"(45.65171815, 10.25368782)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,0-17,609,"(46.33431031, 10.32968894)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,M,SISTEMA MUSCOLO-SCHELETRICO,M,65-79,98715,"(45.80802245, 8.837196022)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,N,SISTEMA NERVOSO,F,80 e +,167712,"(45.20086141, 9.14034225)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,1104,"(46.33431031, 10.32968894)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,J,ANTINFETTIVI PER USO SISTEMICO,F,65-79,74945,"(45.20086141, 9.14034225)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,40-64,321984,"(45.20086141, 9.14034225)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,B,SANGUE E ORGANI EMOPOIETICI,F,0-17,3902,"(45.80802245, 8.837196022)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,D,DERMATOLOGICI,M,18-39,3277,"(45.20086141, 9.14034225)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,0-17,1668,"(45.68701679, 9.63853045)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,N,SISTEMA NERVOSO,F,80 e +,256633,"(45.80802245, 8.837196022)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,R,SISTEMA RESPIRATORIO,F,0-17,65435,"(45.80802245, 8.837196022)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,F,0-17,248,"(45.1439181, 10.02604335)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,D,DERMATOLOGICI,M,40-64,14176,"(45.69919245, 9.298423314)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,D,DERMATOLOGICI,-,80 e +,57,"(46.33431031, 10.32968894)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,M,18-39,2727,"(45.65171815, 10.25368782)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,N,SISTEMA NERVOSO,M,18-39,255606,"(45.44410928, 9.198811423)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,65-79,110529,"(45.69919245, 9.298423314)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,V,VARI,F,40-64,1270,"(45.1439181, 10.02604335)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,65-79,912036,"(45.80802245, 8.837196022)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,D,DERMATOLOGICI,M,18-39,5547,"(45.68701679, 9.63853045)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,B,SANGUE E ORGANI EMOPOIETICI,F,80 e +,81973,"(46.33431031, 10.32968894)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,S,ORGANI DI SENSO,M,80 e +,7335,"(46.33431031, 10.32968894)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,80 e +,252092,"(45.1439181, 10.02604335)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,M,SISTEMA MUSCOLO-SCHELETRICO,M,65-79,222844,"(45.44410928, 9.198811423)"
2016,30,REGIONE LOMBARDIA,,,M,SISTEMA MUSCOLO-SCHELETRICO,F,0-17,3883,
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,M,SISTEMA MUSCOLO-SCHELETRICO,F,65-79,42633,"(46.33431031, 10.32968894)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,C,SISTEMA CARDIOVASCOLARE,M,18-39,36023,"(45.1439181, 10.02604335)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,M,SISTEMA MUSCOLO-SCHELETRICO,M,40-64,20759,"(46.33431031, 10.32968894)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,65-79,534695,"(45.20086141, 9.14034225)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,D,DERMATOLOGICI,-,80 e +,228,"(45.1439181, 10.02604335)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,R,SISTEMA RESPIRATORIO,F,18-39,35754,"(45.65171815, 10.25368782)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,0-17,44283,"(45.44410928, 9.198811423)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,V,VARI,M,65-79,5041,"(45.1439181, 10.02604335)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,18-39,45122,"(45.80802245, 8.837196022)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,0-17,852,"(45.68701679, 9.63853045)"
2013,30,REGIONE LOMBARDIA,,,S,ORGANI DI SENSO,M,80 e +,219458,
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,V,VARI,F,0-17,5,"(45.1439181, 10.02604335)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,D,DERMATOLOGICI,F,0-17,376,"(45.1439181, 10.02604335)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,J,ANTINFETTIVI PER USO SISTEMICO,F,80 e +,57180,"(45.20086141, 9.14034225)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,V,VARI,M,65-79,4662,"(45.1439181, 10.02604335)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,J,ANTINFETTIVI PER USO SISTEMICO,M,65-79,76748,"(45.1439181, 10.02604335)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,B,SANGUE E ORGANI EMOPOIETICI,M,0-17,3089,"(45.1439181, 10.02604335)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,40-64,76214,"(45.80802245, 8.837196022)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,N,SISTEMA NERVOSO,F,65-79,129035,"(46.33431031, 10.32968894)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,65-79,92655,"(45.68701679, 9.63853045)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,0-17,14133,"(45.65171815, 10.25368782)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,18-39,16959,"(45.20086141, 9.14034225)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,0-17,7988,"(45.1439181, 10.02604335)"
2016,30,REGIONE LOMBARDIA,,,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,65-79,484610,
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,80 e +,6418,"(46.33431031, 10.32968894)"
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,D,DERMATOLOGICI,F,80 e +,2161,"(45.65171815, 10.25368782)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,1144,"(45.20086141, 9.14034225)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,0-17,10227,"(45.1439181, 10.02604335)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,N,SISTEMA NERVOSO,M,18-39,56438,"(45.1439181, 10.02604335)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,40-64,2504,"(45.20086141, 9.14034225)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,V,VARI,M,18-39,495,"(45.20086141, 9.14034225)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,18-39,42934,"(45.20086141, 9.14034225)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,18-39,18505,"(45.20086141, 9.14034225)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,C,SISTEMA CARDIOVASCOLARE,F,18-39,14436,"(45.20086141, 9.14034225)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,S,ORGANI DI SENSO,M,65-79,61328,"(45.80802245, 8.837196022)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,D,DERMATOLOGICI,F,65-79,24894,"(45.44410928, 9.198811423)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,D,DERMATOLOGICI,M,65-79,10192,"(45.69919245, 9.298423314)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,V,VARI,M,18-39,751,"(45.69919245, 9.298423314)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,80 e +,612,"(46.33431031, 10.32968894)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,N,SISTEMA NERVOSO,F,65-79,194337,"(45.20086141, 9.14034225)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,M,18-39,2781,"(45.69919245, 9.298423314)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,N,SISTEMA NERVOSO,-,80 e +,6540,"(45.65171815, 10.25368782)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,S,ORGANI DI SENSO,F,80 e +,39619,"(45.65171815, 10.25368782)"
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,M,SISTEMA MUSCOLO-SCHELETRICO,-,80 e +,4756,"(45.69919245, 9.298423314)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,V,VARI,M,65-79,16314,"(45.65171815, 10.25368782)"
2014,30,REGIONE LOMBARDIA,,,J,ANTINFETTIVI PER USO SISTEMICO,F,0-17,984462,
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,R,SISTEMA RESPIRATORIO,M,80 e +,16012,"(46.33431031, 10.32968894)"
2015,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,D,DERMATOLOGICI,F,65-79,1323,"(46.33431031, 10.32968894)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,N,SISTEMA NERVOSO,F,80 e +,183135,"(45.1439181, 10.02604335)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,V,VARI,-,80 e +,131,"(45.65171815, 10.25368782)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,N,SISTEMA NERVOSO,F,18-39,36598,"(46.33431031, 10.32968894)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,18-39,4843,"(46.33431031, 10.32968894)"
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,M,SISTEMA MUSCOLO-SCHELETRICO,M,18-39,10941,"(45.65171815, 10.25368782)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,C,SISTEMA CARDIOVASCOLARE,M,0-17,2240,"(45.65171815, 10.25368782)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",F,18-39,26183,"(45.1439181, 10.02604335)"
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,V,VARI,F,40-64,1693,"(45.1439181, 10.02604335)"
2013,328,ATS DI PAVIA,9.14034225,45.20086141,S,ORGANI DI SENSO,M,80 e +,17722,"(45.20086141, 9.14034225)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,80 e +,83252,"(46.33431031, 10.32968894)"
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,R,SISTEMA RESPIRATORIO,F,18-39,152981,"(45.44410928, 9.198811423)"
2013,326,ATS DI BRESCIA,10.25368782,45.65171815,N,SISTEMA NERVOSO,F,0-17,12200,"(45.65171815, 10.25368782)"
2017,30,REGIONE LOMBARDIA,,,S,ORGANI DI SENSO,F,0-17,3989,
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,N,SISTEMA NERVOSO,F,65-79,299909,"(45.69919245, 9.298423314)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,J,ANTINFETTIVI PER USO SISTEMICO,M,18-39,24910,"(46.33431031, 10.32968894)"
2017,30,REGIONE LOMBARDIA,,,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,F,18-39,211253,
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,C,SISTEMA CARDIOVASCOLARE,M,40-64,3262076,"(45.44410928, 9.198811423)"
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,R,SISTEMA RESPIRATORIO,F,0-17,12279,"(46.33431031, 10.32968894)"
2013,30,REGIONE LOMBARDIA,,,C,SISTEMA CARDIOVASCOLARE,-,80 e +,324695,
2017,30,REGIONE LOMBARDIA,,,R,SISTEMA RESPIRATORIO,F,18-39,345915,
2017,30,REGIONE LOMBARDIA,,,M,SISTEMA MUSCOLO-SCHELETRICO,F,18-39,77581,
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,F,80 e +,68645,"(45.1439181, 10.02604335)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,40-64,148474,"(45.44410928, 9.198811423)"
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,R,SISTEMA RESPIRATORIO,M,0-17,71011,"(45.68701679, 9.63853045)"
2015,328,ATS DI PAVIA,9.14034225,45.20086141,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",M,80 e +,11919,"(45.20086141, 9.14034225)"
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,F,0-17,382,"(45.1439181, 10.02604335)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,0-17,7423,"(45.44410928, 9.198811423)"
2017,30,REGIONE LOMBARDIA,,,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",M,18-39,10851,
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,R,SISTEMA RESPIRATORIO,M,40-64,271708,"(45.44410928, 9.198811423)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,R,SISTEMA RESPIRATORIO,F,40-64,87127,"(45.65171815, 10.25368782)"
2017,30,REGIONE LOMBARDIA,,,N,SISTEMA NERVOSO,?,80 e +,22,
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,C,SISTEMA CARDIOVASCOLARE,M,65-79,1297837,"(45.1439181, 10.02604335)"
2017,30,REGIONE LOMBARDIA,,,J,ANTINFETTIVI PER USO SISTEMICO,-,80 e +,128026,
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,B,SANGUE E ORGANI EMOPOIETICI,F,18-39,132913,"(45.44410928, 9.198811423)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,D,DERMATOLOGICI,F,40-64,5003,"(45.1439181, 10.02604335)"
2013,30,REGIONE LOMBARDIA,,,A,APPARATO GASTROINTESTINALE E METABOLISMO,F,40-64,5070308,
2013,328,ATS DI PAVIA,9.14034225,45.20086141,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,40-64,302546,"(45.20086141, 9.14034225)"
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,N,SISTEMA NERVOSO,M,80 e +,33333,"(46.33431031, 10.32968894)"
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,J,ANTINFETTIVI PER USO SISTEMICO,F,18-39,123066,"(45.65171815, 10.25368782)"
2017,30,REGIONE LOMBARDIA,,,M,SISTEMA MUSCOLO-SCHELETRICO,F,80 e +,811306,
2012,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,B,SANGUE E ORGANI EMOPOIETICI,M,18-39,4054,"(46.33431031, 10.32968894)"
2017,328,ATS DI PAVIA,9.14034225,45.20086141,S,ORGANI DI SENSO,M,18-39,862,"(45.20086141, 9.14034225)"
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,D,DERMATOLOGICI,F,18-39,5115,"(45.80802245, 8.837196022)"
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,N,SISTEMA NERVOSO,M,40-64,109474,"(46.33431031, 10.32968894)"
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,V,VARI,F,18-39,232,"(45.1439181, 10.02604335)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,C,SISTEMA CARDIOVASCOLARE,F,80 e +,3355744,"(45.44410928, 9.198811423)"
2016,30,REGIONE LOMBARDIA,,,A,APPARATO GASTROINTESTINALE E METABOLISMO,M,0-17,123395,
2012,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,M,SISTEMA MUSCOLO-SCHELETRICO,M,40-64,50884,"(45.1439181, 10.02604335)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,R,SISTEMA RESPIRATORIO,M,80 e +,155688,"(45.44410928, 9.198811423)"
2016,30,REGIONE LOMBARDIA,,,M,SISTEMA MUSCOLO-SCHELETRICO,F,40-64,784877,
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,B,SANGUE E ORGANI EMOPOIETICI,M,65-79,95622,"(46.33431031, 10.32968894)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,M,SISTEMA MUSCOLO-SCHELETRICO,M,80 e +,32705,"(45.69919245, 9.298423314)"
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,J,ANTINFETTIVI PER USO SISTEMICO,-,80 e +,53624,"(45.44410928, 9.198811423)"
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,C,SISTEMA CARDIOVASCOLARE,F,80 e +,924733,"(45.1439181, 10.02604335)"
2012,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,S,ORGANI DI SENSO,M,0-17,580,"(45.80802245, 8.837196022)"
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",F,0-17,3275,"(45.69919245, 9.298423314)"
2013,30,REGIONE LOMBARDIA,,,V,VARI,M,65-79,86770,
2016,30,REGIONE LOMBARDIA,,,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,F,65-79,348964,
2013,328,ATS DI PAVIA,9.14034225,45.20086141,B,SANGUE E ORGANI EMOPOIETICI,M,18-39,8014,"(45.20086141, 9.14034225)"
2013,30,REGIONE LOMBARDIA,,,J,ANTINFETTIVI PER USO SISTEMICO,F,18-39,1164045,
